"",BBK01.OEAP01O,BBK01.OEAP01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:57,
2002-01,0.284,
2002-04,0.344,
2002-07,0.305,
2002-10,0.187,
2003-01,0.189,
2003-04,0.172,
2003-07,0.172,
2003-10,0.191,
2004-01,0.159,
2004-04,0.166,
2004-07,0.183,
2004-10,0.138,
2005-01,0.155,
2005-04,0.149,
2005-07,0.114,
2005-10,0.107,
2006-01,0.137,
2006-04,0.150,
2006-07,0.109,
2006-10,0.122,
2007-01,0.094,
2007-04,0.067,
2007-07,0.067,
2007-10,0.061,
2008-01,0.067,
2008-04,0.070,
2008-07,0.065,
2008-10,0.035,
2009-01,0.046,
2009-04,0.047,
2009-07,0.046,
2009-10,0.043,
2010-01,0.024,
2010-04,0.049,
2010-07,0.032,
2010-10,0.029,
2011-01,0.028,
2011-04,0.011,
2011-07,0.022,
2011-10,0.046,
2012-01,0.014,
2012-04,0.011,
2012-07,0.007,
2012-10,0.018,
2013-01,0.015,
2013-04,0.011,
2013-07,0.015,
2013-10,0.008,
2014-01,0.026,
2014-04,0.005,
2014-07,0.016,
