"",BBK01.OEAA03U,BBK01.OEAA03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:40,
2002-01,2.723,
2002-04,2.684,
2002-07,2.688,
2002-10,2.685,
2003-01,2.672,
2003-04,2.667,
2003-07,2.608,
2003-10,2.526,
2004-01,2.511,
2004-04,2.351,
2004-07,2.372,
2004-10,2.248,
2005-01,2.312,
2005-04,2.268,
2005-07,2.264,
2005-10,2.132,
2006-01,2.143,
2006-04,2.100,
2006-07,2.050,
2006-10,2.034,
2007-01,2.029,
2007-04,2.159,
2007-07,2.058,
2007-10,1.976,
2008-01,2.093,
2008-04,2.117,
2008-07,2.009,
2008-10,1.988,
2009-01,1.977,
2009-04,1.989,
2009-07,1.921,
2009-10,1.750,
2010-01,1.772,
2010-04,1.820,
2010-07,1.687,
2010-10,1.531,
2011-01,1.641,
2011-04,1.669,
2011-07,1.609,
2011-10,1.527,
2012-01,1.610,
2012-04,1.627,
2012-07,1.594,
2012-10,1.517,
2013-01,1.651,
2013-04,1.619,
2013-07,1.648,
2013-10,1.484,
2014-01,1.610,
2014-04,1.653,
2014-07,1.605,
