"",BBEX3.A.THB.USD.CA.AA.A04,BBEX3.A.THB.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Thailand / USD 1 = THB ... (buying),
unit,THB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:16:46,
1990,25.5400,
1991,25.4804,
1992,25.3654,
1993,25.2763,
1994,25.0967,
1995,24.8792,
1996,25.3100,
1997,31.4587,comment
1998,40.9464,comment
1999,37.7871,
2000,40.1983,
2001,44.3752,
2002,42.8985,
2003,41.4010,
2004,40.2110,
2005,40.2077,
2006,37.7122,
2007,34.4046,
2008,33.2806,
2009,34.1899,
2010,31.5552,
2011,30.4137,
2012,30.9253,
2013,30.6137,
2014,32.3369,
"","Source: Bank of Thailand, Bangkok.",
"",Methodology: Calculated on the basis of mid-month and month-end rates.,
"","Comment on 1997: On 2 July 1997, the currency ceased to be pegged to a currency basket and a controlled floating exchange rate was adopted.",
"",Comment on 1998: In 1997/1998 financial crises in some south-east Asian countries.,
