"",BBK01.OEAF26T,BBK01.OEAF26T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:11,
2002-01,0.209,
2002-04,0.205,
2002-07,0.204,
2002-10,0.235,
2003-01,0.233,
2003-04,0.250,
2003-07,0.247,
2003-10,0.239,
2004-01,0.232,
2004-04,0.232,
2004-07,0.230,
2004-10,0.222,
2005-01,0.224,
2005-04,0.226,
2005-07,0.224,
2005-10,0.220,
2006-01,0.215,
2006-04,0.227,
2006-07,0.233,
2006-10,0.239,
2007-01,0.243,
2007-04,0.248,
2007-07,0.249,
2007-10,0.246,
2008-01,0.247,
2008-04,0.247,
2008-07,0.241,
2008-10,0.237,
2009-01,0.243,
2009-04,0.242,
2009-07,0.225,
2009-10,0.226,
2010-01,0.226,
2010-04,0.239,
2010-07,0.231,
2010-10,0.228,
2011-01,0.233,
2011-04,0.230,
2011-07,0.230,
2011-10,0.215,
2012-01,0.211,
2012-04,0.212,
2012-07,0.238,
2012-10,0.237,
2013-01,0.234,
2013-04,0.238,
2013-07,0.254,
2013-10,0.253,
2014-01,0.256,
2014-04,0.262,
2014-07,0.266,
