"",BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:25,
1991-01,1861.638,
1991-04,531.061,
1991-07,2098.513,
1991-10,4058.280,
1992-01,5081.242,
1992-04,1722.819,
1992-07,1564.679,
1992-10,6598.004,
1993-01,-281.430,
1993-04,2201.159,
1993-07,2403.567,
1993-10,9039.702,
1994-01,-74.928,
1994-04,5354.378,
1994-07,1888.824,
1994-10,1997.932,
1995-01,3001.399,
1995-04,5464.668,
1995-07,5317.747,
1995-10,4387.936,
1996-01,4179.202,
1996-04,5706.226,
1996-07,702.884,
1996-10,7976.671,
1997-01,5528.309,
1997-04,6078.500,
1997-07,4649.235,
1997-10,1914.287,
1998-01,2901.995,
1998-04,5531.556,
1998-07,2637.919,
1998-10,7334.629,
1999-01,-1635.556,
1999-04,2223.341,
1999-07,4177.855,
1999-10,10568.569,
2000-01,5718.228,
2000-04,9390.848,
2000-07,9191.945,
2000-10,8221.059,
2001-01,4754.617,
2001-04,6411.738,
2001-07,312.806,
2001-10,-1378.558,
2002-01,-430.080,
2002-04,12230.294,
2002-07,10282.262,
2002-10,-8635.611,
2003-01,2728.915,
2003-04,1099.138,
2003-07,-9614.097,
2003-10,-1333.848,
2004-01,3686.501,
2004-04,807.961,
2004-07,643.716,
2004-10,9354.968,
2005-01,3645.128,
2005-04,26560.255,
2005-07,-3311.471,
2005-10,20744.427,
2006-01,-2791.853,
2006-04,23860.147,
2006-07,3537.627,
2006-10,12028.936,
2007-01,19540.153,
2007-04,13831.124,
2007-07,43743.918,
2007-10,24262.214,
2008-01,-3746.935,
2008-04,14709.620,
2008-07,18259.772,
2008-10,-21151.213,
2009-01,-14781.652,
2009-04,3974.558,
2009-07,-1824.917,
2009-10,6108.109,
2010-01,-7994.590,
2010-04,-3787.594,
2010-07,7611.318,
2010-10,15411.757,
2011-01,-185.824,
2011-04,7085.914,
2011-07,9909.743,
2011-10,4355.991,
2012-01,8540.226,
2012-04,992.717,
2012-07,7749.925,
2012-10,27297.637,
2013-01,13422.909,
2013-04,9060.998,
2013-07,-2768.772,
2013-10,18356.575,
2014-01,18232.642,Provisional value
2014-04,34426.367,Provisional value
2014-07,17184.531,Provisional value
2014-10,50984.509,Provisional value
