"",BBNZ1.Q.DE.S.G.0303.A,BBNZ1.Q.DE.S.G.0303.A_FLAGS
"","Germany / National accounts / Households' income / Operating surplus, mixed income, property income / Seasonally adjusted only",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:07,
1991-01,79.666,
1991-04,84.532,
1991-07,82.401,
1991-10,85.365,
1992-01,89.808,
1992-04,86.766,
1992-07,84.773,
1992-10,87.074,
1993-01,89.779,
1993-04,90.028,
1993-07,90.145,
1993-10,90.192,
1994-01,96.584,
1994-04,93.876,
1994-07,98.454,
1994-10,99.562,
1995-01,98.426,
1995-04,100.783,
1995-07,102.086,
1995-10,99.158,
1996-01,100.217,
1996-04,98.980,
1996-07,101.137,
1996-10,100.881,
1997-01,100.815,
1997-04,103.486,
1997-07,105.777,
1997-10,108.224,
1998-01,104.845,
1998-04,102.010,
1998-07,106.029,
1998-10,111.077,
1999-01,105.823,
1999-04,105.553,
1999-07,105.432,
1999-10,111.129,
2000-01,106.193,
2000-04,108.247,
2000-07,105.783,
2000-10,104.883,
2001-01,112.717,
2001-04,114.286,
2001-07,113.827,
2001-10,111.503,
2002-01,108.075,
2002-04,110.250,
2002-07,109.378,
2002-10,110.744,
2003-01,116.487,
2003-04,116.651,
2003-07,117.025,
2003-10,116.722,
2004-01,118.294,
2004-04,117.104,
2004-07,119.145,
2004-10,121.393,
2005-01,122.097,
2005-04,123.700,
2005-07,128.557,
2005-10,130.054,
2006-01,132.939,
2006-04,133.287,
2006-07,135.813,
2006-10,142.953,
2007-01,139.329,
2007-04,137.830,
2007-07,141.498,
2007-10,144.873,
2008-01,144.540,
2008-04,149.778,
2008-07,149.482,
2008-10,139.893,
2009-01,139.296,
2009-04,138.230,
2009-07,129.644,
2009-10,129.548,
2010-01,132.796,
2010-04,134.197,
2010-07,135.032,
2010-10,137.513,
2011-01,141.267,
2011-04,143.863,
2011-07,144.631,
2011-10,147.267,
2012-01,148.378,
2012-04,142.879,
2012-07,144.724,
2012-10,144.212,
2013-01,143.558,
2013-04,145.776,
2013-07,149.768,
2013-10,144.301,
2014-01,143.750,
2014-04,144.379,
2014-07,149.265,
2014-10,146.805,
