"",BBSF2.M.1.S.I0003.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0003.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Supplementary pension funds for government employees and churches / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:50,
2009-09,63,
2009-10,185,
2009-11,37,
2009-12,301,
2010-01,438,
2010-02,18,
2010-03,354,
2010-04,671,
2010-05,40,
2010-06,284,
2010-07,436,
2010-08,94,
2010-09,425,
2010-10,63,
2010-11,175,
2010-12,330,
2011-01,235,
2011-02,101,
2011-03,45,
2011-04,279,
2011-05,370,
2011-06,287,
2011-07,68,
2011-08,37,
2011-09,377,
2011-10,9,
2011-11,41,
2011-12,1277,
2012-01,1496,
2012-02,48,
2012-03,435,
2012-04,559,
2012-05,445,
2012-06,175,
2012-07,44,
2012-08,296,
2012-09,496,
2012-10,334,
2012-11,555,
2012-12,2754,
2013-01,438,
2013-02,328,
2013-03,199,
2013-04,358,
2013-05,128,
2013-06,62,
2013-07,373,
2013-08,118,
2013-09,216,
2013-10,222,
2013-11,298,
2013-12,1082,
2014-01,445,
2014-02,1229,
2014-03,90,
2014-04,172,
2014-05,166,
2014-06,154,
2014-07,564,
2014-08,1461,
2014-09,976,
2014-10,533,
2014-11,1578,
