"",BBK01.OEHM06L,BBK01.OEHM06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:58,
2002-01,0.186,
2002-04,0.200,
2002-07,0.206,
2002-10,0.208,
2003-01,0.179,
2003-04,0.178,
2003-07,0.175,
2003-10,0.194,
2004-01,0.194,
2004-04,0.176,
2004-07,0.152,
2004-10,0.121,
2005-01,0.122,
2005-04,0.120,
2005-07,0.116,
2005-10,0.111,
2006-01,0.106,
2006-04,0.111,
2006-07,0.094,
2006-10,0.092,
2007-01,0.108,
2007-04,0.113,
2007-07,0.135,
2007-10,0.150,
2008-01,0.149,
2008-04,0.134,
2008-07,0.130,
2008-10,0.123,
2009-01,0.118,
2009-04,0.133,
2009-07,0.139,
2009-10,0.144,
2010-01,0.126,
2010-04,0.156,
2010-07,0.134,
2010-10,0.135,
2011-01,0.134,
2011-04,0.139,
2011-07,0.136,
2011-10,0.133,
2012-01,0.127,
2012-04,0.127,
2012-07,0.126,
2012-10,0.116,
2013-01,0.107,
2013-04,0.090,
2013-07,0.092,
2013-10,0.089,
2014-01,0.097,
2014-04,0.076,
2014-07,0.078,
