"",BBNZ1.Q.DE.N.H.0108.A,BBNZ1.Q.DE.N.H.0108.A_FLAGS
"",Germany / National accounts / Use of GDP / Domestic demand / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:44,
1991-01,81.30,
1991-04,83.95,
1991-07,84.81,
1991-10,84.42,
1992-01,84.54,
1992-04,85.16,
1992-07,86.89,
1992-10,87.13,
1993-01,82.17,
1993-04,84.28,
1993-07,87.29,
1993-10,86.10,
1994-01,84.33,
1994-04,85.70,
1994-07,89.17,
1994-10,89.26,
1995-01,86.28,
1995-04,88.05,
1995-07,90.67,
1995-10,89.67,
1996-01,86.18,
1996-04,88.27,
1996-07,91.33,
1996-10,90.17,
1997-01,86.44,
1997-04,89.99,
1997-07,92.05,
1997-10,91.17,
1998-01,89.27,
1998-04,90.58,
1998-07,94.35,
1998-10,93.72,
1999-01,91.68,
1999-04,93.05,
1999-07,96.99,
1999-10,96.63,
2000-01,94.12,
2000-04,95.80,
2000-07,98.91,
2000-10,97.54,
2001-01,95.39,
2001-04,96.51,
2001-07,98.57,
2001-10,96.68,
2002-01,92.23,
2002-04,94.15,
2002-07,97.28,
2002-10,95.16,
2003-01,92.71,
2003-04,94.18,
2003-07,97.31,
2003-10,95.74,
2004-01,92.46,
2004-04,93.23,
2004-07,97.49,
2004-10,95.73,
2005-01,90.89,
2005-04,94.73,
2005-07,97.47,
2005-10,96.23,
2006-01,95.03,
2006-04,96.61,
2006-07,100.42,
2006-10,98.08,
2007-01,97.47,
2007-04,97.85,
2007-07,102.25,
2007-10,99.46,
2008-01,98.61,
2008-04,99.64,
2008-07,103.67,
2008-10,99.49,
2009-01,96.53,
2009-04,95.49,
2009-07,99.98,
2009-10,96.48,
2010-01,97.13,
2010-04,99.16,
2010-07,103.38,
2010-10,100.33,
2011-01,101.64,
2011-04,102.04,
2011-07,106.27,
2011-10,102.10,
2012-01,102.00,
2012-04,100.51,
2012-07,104.52,
2012-10,101.16,
2013-01,100.55,
2013-04,101.37,
2013-07,106.88,
2013-10,102.14,
2014-01,103.01,
2014-04,102.63,
2014-07,107.32,
2014-10,103.14,
