"",BBK01.OEAN07L,BBK01.OEAN07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:00,
2002-01,1.175,
2002-04,1.154,
2002-07,1.146,
2002-10,1.145,
2003-01,1.028,
2003-04,1.003,
2003-07,0.979,
2003-10,0.990,
2004-01,0.934,
2004-04,0.911,
2004-07,0.906,
2004-10,0.919,
2005-01,0.881,
2005-04,0.810,
2005-07,0.805,
2005-10,0.798,
2006-01,0.749,
2006-04,0.756,
2006-07,0.750,
2006-10,0.779,
2007-01,0.733,
2007-04,0.749,
2007-07,0.754,
2007-10,0.780,
2008-01,0.705,
2008-04,0.766,
2008-07,0.781,
2008-10,0.800,
2009-01,0.692,
2009-04,0.682,
2009-07,0.676,
2009-10,0.660,
2010-01,0.614,
2010-04,0.500,
2010-07,0.491,
2010-10,0.498,
2011-01,0.452,
2011-04,0.467,
2011-07,0.470,
2011-10,0.486,
2012-01,0.457,
2012-04,0.479,
2012-07,0.487,
2012-10,0.525,
2013-01,0.523,
2013-04,0.545,
2013-07,0.575,
2013-10,0.596,
2014-01,0.572,
2014-04,0.594,
2014-07,0.601,
