"",BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:56,
1991-01,4.833,
1991-04,109.955,
1991-07,32.470,
1991-10,71.666,
1992-01,-212.229,
1992-04,25.060,
1992-07,48.388,
1992-10,58.556,
1993-01,70.228,
1993-04,26.119,
1993-07,178.185,
1993-10,-88.100,
1994-01,-50.830,
1994-04,120.061,
1994-07,-117.942,
1994-10,-53.136,
1995-01,415.403,
1995-04,-18.220,
1995-07,691.104,
1995-10,271.702,
1996-01,-603.987,
1996-04,347.199,
1996-07,239.350,
1996-10,937.041,
1997-01,-123.168,
1997-04,799.197,
1997-07,-150.861,
1997-10,-374.159,
1998-01,1083.167,
1998-04,1403.449,
1998-07,-57.254,
1998-10,-113.148,
1999-01,603.796,
1999-04,35.800,
1999-07,81.729,
1999-10,-76.065,
2000-01,-271.557,
2000-04,1409.952,
2000-07,1620.571,
2000-10,50.378,
2001-01,1512.017,
2001-04,1868.039,
2001-07,16.690,
2001-10,-2570.566,
2002-01,267.479,
2002-04,801.983,
2002-07,-680.979,
2002-10,123.262,
2003-01,622.016,
2003-04,1378.336,
2003-07,-5111.143,
2003-10,-562.985,
2004-01,691.847,
2004-04,-418.703,
2004-07,-1034.332,
2004-10,-1828.396,
2005-01,-1491.950,
2005-04,-782.127,
2005-07,-1158.315,
2005-10,128.221,
2006-01,1866.411,
2006-04,1206.851,
2006-07,1518.961,
2006-10,11719.130,
2007-01,3109.572,
2007-04,639.257,
2007-07,-919.406,
2007-10,153.565,
2008-01,961.499,
2008-04,-964.556,
2008-07,-1101.157,
2008-10,-1064.109,
2009-01,-193.336,
2009-04,-1763.593,
2009-07,-3006.474,
2009-10,-344.968,
2010-01,900.203,
2010-04,5817.401,
2010-07,511.109,
2010-10,2330.105,
2011-01,-163.124,
2011-04,250.598,
2011-07,374.128,
2011-10,-166.835,
2012-01,2559.661,
2012-04,103.585,
2012-07,1496.177,
2012-10,-430.333,
2013-01,342.617,
2013-04,-585.778,
2013-07,605.192,
2013-10,2506.429,
2014-01,-825.916,
2014-04,-56.483,
2014-07,85.362,
2014-10,-877.799,
