"",BBFN1.M.DE.N.1.L.CL.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CL.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Chile,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:00,
1995-01,0.085,
1995-02,0.085,
1995-03,0.087,
1995-04,0.083,
1995-05,0.084,
1995-06,0.087,
1995-07,0.087,
1995-08,0.085,
1995-09,0.086,
1995-10,0.088,
1995-11,0.086,
1995-12,0.084,
1996-01,0.085,
1996-02,0.085,
1996-03,0.085,
1996-04,0.086,
1996-05,0.087,
1996-06,0.087,
1996-07,0.086,
1996-08,0.087,
1996-09,0.086,
1996-10,0.085,
1996-11,0.085,
1996-12,0.094,
1997-01,0.096,
1997-02,0.096,
1997-03,0.096,
1997-04,0.095,
1997-05,0.095,
1997-06,0.095,
1997-07,0.098,
1997-08,0.100,
1997-09,0.095,
1997-10,0.096,
1997-11,0.095,
1997-12,0.111,
1998-01,0.114,
1998-02,0.115,
1998-03,0.115,
1998-04,0.113,
1998-05,0.113,
1998-06,0.114,
1998-07,0.112,
1998-08,0.110,
1998-09,0.110,
1998-10,0.109,
1998-11,0.109,
1998-12,0.098,
1999-01,0.098,
1999-02,0.102,
1999-03,0.106,
1999-04,0.108,
1999-05,0.114,
1999-06,0.111,
1999-07,0.109,
1999-08,0.112,
1999-09,0.113,
1999-10,0.017,
1999-11,0.029,
1999-12,0.030,
2000-01,0.031,
2000-02,0.028,
2000-03,0.031,
2000-04,0.030,
2000-05,0.031,
2000-06,0.030,
2000-07,0.038,
2000-08,0.039,
2000-09,0.043,
2000-10,0.031,
2000-11,0.032,
2000-12,0.048,
2001-01,0.051,
2001-02,0.051,
2001-03,0.035,
2001-04,0.035,
2001-05,0.037,
2001-06,0.072,
2001-07,0.058,
2001-08,0.057,
2001-09,0.061,
2001-10,0.055,
2001-11,0.014,
2001-12,0.018,
2002-01,0.048,
2002-02,0.049,
2002-03,0.038,
2002-04,0.038,
2002-05,0.070,
2002-06,0.072,
2002-07,0.070,
2002-08,0.069,
2002-09,0.038,
2002-10,0.039,
2002-11,0.028,
2002-12,0.038,
2003-01,0.004,
2003-02,0.003,
2003-03,0.031,
2003-04,0.032,
2003-05,0.058,
2003-06,0.068,
2003-07,0.065,
2003-08,0.065,
2003-09,0.076,
2003-10,0.069,
2003-11,0.072,
2003-12,0.065,
2004-01,0.068,
2004-02,0.069,
2004-03,0.071,
2004-04,0.070,
2004-05,0.074,
2004-06,0.080,
2004-07,0.085,
2004-08,0.081,
2004-09,0.032,
2004-10,0.078,
2004-11,0.080,
2004-12,0.076,
2005-01,0.074,
2005-02,0.072,
2005-03,0.050,
2005-04,0.006,
2005-05,0.006,
2005-06,0.007,
2005-07,0.008,
2005-08,0.007,
2005-09,0.021,
2005-10,0.006,
2005-11,0.061,
2005-12,0.017,
2006-01,0.016,
2006-02,0.016,
2006-03,0.066,
2006-04,0.065,
2006-05,0.069,
2006-06,0.075,
2006-07,0.083,
2006-08,0.077,
2006-09,0.077,
2006-10,0.071,
2006-11,0.072,
2006-12,0.073,
2007-01,0.073,
2007-02,0.012,
2007-03,0.089,
2007-04,0.140,
2007-05,0.103,
2007-06,0.116,
2007-07,0.124,
2007-08,0.114,
2007-09,0.119,
2007-10,0.115,
2007-11,0.105,
2007-12,0.109,
2008-01,0.104,
2008-02,0.023,
2008-03,0.105,
2008-04,0.102,
2008-05,0.106,
2008-06,0.112,
2008-07,0.105,
2008-08,0.107,
2008-09,0.112,
2008-10,0.114,
2008-11,0.120,
2008-12,0.112,
2009-01,0.108,
2009-02,0.110,
2009-03,0.116,
2009-04,0.119,
2009-05,0.115,
2009-06,0.122,
2009-07,0.122,
2009-08,0.117,
2009-09,0.123,
2009-10,0.117,
2009-11,0.027,
2009-12,0.126,
2010-01,0.130,
2010-02,0.125,
2010-03,0.171,
2010-04,0.164,
2010-05,0.170,
2010-06,0.180,
2010-07,0.180,
2010-08,0.176,
2010-09,0.190,
2010-10,0.123,
2010-11,0.221,
2010-12,0.229,
2011-01,0.214,
2011-02,0.220,
2011-03,0.259,
2011-04,0.262,
2011-05,0.259,
2011-06,0.274,
2011-07,0.152,
2011-08,0.184,
2011-09,0.132,
2011-10,0.122,
2011-11,0.120,
2011-12,0.120,
2012-01,0.131,
2012-02,0.131,
2012-03,0.149,
2012-04,0.139,
2012-05,0.103,
2012-06,0.124,
2012-07,0.143,
2012-08,0.132,
2012-09,0.147,
2012-10,0.122,
2012-11,0.120,
2012-12,0.155,
2013-01,0.142,
2013-02,0.114,
2013-03,0.132,
2013-04,0.127,
2013-05,0.118,
2013-06,0.147,
2013-07,0.111,
2013-08,0.127,
2013-09,0.134,
2013-10,0.128,
2013-11,0.117,
2013-12,0.115,
2014-01,0.107,
2014-02,0.115,
2014-03,0.115,
2014-04,0.103,
2014-05,0.111,
2014-06,0.110,
2014-07,0.105,
2014-08,0.123,
2014-09,0.127,
2014-10,0.122,
2014-11,0.122,
2014-12,0.126,
