"",BBFN1.M.DE.N.1.A.W03100.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:55,
1995-01,2.553,
1995-02,2.556,
1995-03,2.532,
1995-04,2.551,
1995-05,2.607,
1995-06,2.552,
1995-07,2.560,
1995-08,2.683,
1995-09,2.719,
1995-10,2.743,
1995-11,2.734,
1995-12,2.641,
1996-01,2.698,
1996-02,2.724,
1996-03,2.756,
1996-04,2.768,
1996-05,2.788,
1996-06,2.866,
1996-07,2.872,
1996-08,2.869,
1996-09,2.869,
1996-10,2.901,
1996-11,2.964,
1996-12,3.016,
1997-01,3.093,
1997-02,3.104,
1997-03,3.260,
1997-04,3.395,
1997-05,3.492,
1997-06,3.572,
1997-07,3.795,
1997-08,4.031,
1997-09,4.110,
1997-10,4.232,
1997-11,4.330,
1997-12,4.393,
1998-01,4.652,
1998-02,4.753,
1998-03,4.850,
1998-04,4.841,
1998-05,5.142,
1998-06,5.188,
1998-07,5.229,
1998-08,5.359,
1998-09,5.550,
1998-10,5.566,
1998-11,5.485,
1998-12,5.517,
1999-01,5.567,
1999-02,5.598,
1999-03,5.622,
1999-04,5.745,
1999-05,5.782,
1999-06,5.820,
1999-07,5.866,
1999-08,5.977,
1999-09,5.996,
1999-10,6.116,
1999-11,6.207,
1999-12,6.287,
2000-01,6.247,
2000-02,6.262,
2000-03,6.003,
2000-04,5.987,
2000-05,6.025,
2000-06,6.087,
2000-07,6.098,
2000-08,6.148,
2000-09,6.213,
2000-10,6.292,
2000-11,6.466,
2000-12,6.341,
2001-01,6.503,
2001-02,6.518,
2001-03,6.683,
2001-04,6.847,
2001-05,6.792,
2001-06,6.671,
2001-07,6.757,
2001-08,6.864,
2001-09,6.998,
2001-10,7.063,
2001-11,6.407,
2001-12,6.517,
2002-01,6.547,
2002-02,6.516,
2002-03,6.370,
2002-04,6.355,
2002-05,6.462,
2002-06,6.500,
2002-07,6.566,
2002-08,6.571,
2002-09,6.550,
2002-10,6.548,
2002-11,6.498,
2002-12,6.262,
2003-01,6.182,
2003-02,6.206,
2003-03,6.102,
2003-04,6.037,
2003-05,6.125,
2003-06,6.081,
2003-07,6.411,
2003-08,6.293,
2003-09,6.073,
2003-10,6.213,
2003-11,6.205,
2003-12,5.917,
2004-01,5.804,
2004-02,5.771,
2004-03,5.699,
2004-04,5.690,
2004-05,3.962,
2004-06,3.970,
2004-07,3.946,
2004-08,3.925,
2004-09,3.971,
2004-10,3.917,
2004-11,3.943,
2004-12,3.894,
2005-01,3.942,
2005-02,3.960,
2005-03,4.060,
2005-04,4.160,
2005-05,4.219,
2005-06,4.354,
2005-07,4.374,
2005-08,4.425,
2005-09,4.514,
2005-10,4.612,
2005-11,4.608,
2005-12,4.668,
2006-01,4.618,
2006-02,4.601,
2006-03,4.622,
2006-04,4.765,
2006-05,4.926,
2006-06,5.485,
2006-07,5.630,
2006-08,5.810,
2006-09,5.945,
2006-10,6.104,
2006-11,6.144,
2006-12,5.813,
2007-01,5.383,
2007-02,5.424,
2007-03,5.476,
2007-04,5.598,
2007-05,5.848,
2007-06,5.869,
2007-07,5.762,
2007-08,5.898,
2007-09,5.988,
2007-10,5.975,
2007-11,6.018,
2007-12,6.674,
2008-01,6.692,
2008-02,6.742,
2008-03,6.820,
2008-04,7.052,
2008-05,7.325,
2008-06,7.418,
2008-07,7.272,
2008-08,7.347,
2008-09,7.508,
2008-10,7.805,
2008-11,8.026,
2008-12,7.865,
2009-01,8.083,
2009-02,8.331,
2009-03,8.528,
2009-04,8.620,
2009-05,8.752,
2009-06,8.741,
2009-07,8.661,
2009-08,8.859,
2009-09,8.827,
2009-10,8.849,
2009-11,9.055,
2009-12,9.116,
2010-01,9.408,
2010-02,9.676,
2010-03,9.856,
2010-04,9.975,
2010-05,10.249,
2010-06,10.413,
2010-07,10.607,
2010-08,10.598,
2010-09,9.895,
2010-10,10.280,
2010-11,10.512,
2010-12,10.724,
2011-01,10.880,
2011-02,10.944,
2011-03,11.181,
2011-04,11.232,
2011-05,11.737,
2011-06,11.919,
2011-07,12.203,
2011-08,12.372,
2011-09,12.854,
2011-10,13.018,
2011-11,13.035,
2011-12,13.191,
2012-01,13.380,
2012-02,13.421,
2012-03,13.449,
2012-04,13.738,
2012-05,14.130,
2012-06,14.170,
2012-07,14.689,
2012-08,14.493,
2012-09,14.369,
2012-10,14.577,
2012-11,14.606,
2012-12,14.614,
2013-01,14.512,
2013-02,14.904,
2013-03,15.274,
2013-04,15.164,
2013-05,15.097,
2013-06,14.975,
2013-07,14.781,
2013-08,14.889,
2013-09,14.971,
2013-10,15.039,
2013-11,15.025,
2013-12,14.746,
2014-01,14.854,
2014-02,14.754,
2014-03,14.725,
2014-04,16.896,
2014-05,14.973,
2014-06,15.043,
2014-07,15.225,
2014-08,15.392,
2014-09,15.722,
2014-10,16.875,
2014-11,16.680,
2014-12,16.935,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
