"",BBK01.OEAD08S,BBK01.OEAD08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:50,
2002-01,0.218,
2002-04,0.217,
2002-07,0.216,
2002-10,0.197,
2003-01,0.195,
2003-04,0.205,
2003-07,0.203,
2003-10,0.197,
2004-01,0.189,
2004-04,0.189,
2004-07,0.191,
2004-10,0.167,
2005-01,0.171,
2005-04,0.168,
2005-07,0.157,
2005-10,0.155,
2006-01,0.162,
2006-04,0.163,
2006-07,0.162,
2006-10,0.170,
2007-01,0.161,
2007-04,0.156,
2007-07,0.155,
2007-10,0.155,
2008-01,0.151,
2008-04,0.149,
2008-07,0.136,
2008-10,0.135,
2009-01,0.127,
2009-04,0.124,
2009-07,0.127,
2009-10,0.118,
2010-01,0.117,
2010-04,0.113,
2010-07,0.113,
2010-10,0.115,
2011-01,0.112,
2011-04,0.107,
2011-07,0.102,
2011-10,0.101,
2012-01,0.105,
2012-04,0.102,
2012-07,0.090,
2012-10,0.083,
2013-01,0.090,
2013-04,0.083,
2013-07,0.085,
2013-10,0.084,
2014-01,0.087,
2014-04,0.092,
2014-07,0.089,
