"",BBK01.OEAN02U,BBK01.OEAN02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:20,
2002-01,7.571,
2002-04,7.244,
2002-07,7.257,
2002-10,7.512,
2003-01,7.586,
2003-04,7.549,
2003-07,7.754,
2003-10,8.034,
2004-01,8.203,
2004-04,8.217,
2004-07,8.333,
2004-10,8.653,
2005-01,9.432,
2005-04,9.417,
2005-07,9.300,
2005-10,9.499,
2006-01,9.614,
2006-04,9.579,
2006-07,9.517,
2006-10,9.597,
2007-01,9.630,
2007-04,9.570,
2007-07,9.548,
2007-10,9.747,
2008-01,9.656,
2008-04,9.560,
2008-07,9.408,
2008-10,9.745,
2009-01,9.775,
2009-04,9.730,
2009-07,9.786,
2009-10,10.129,
2010-01,10.219,
2010-04,10.229,
2010-07,10.258,
2010-10,10.486,
2011-01,10.539,
2011-04,10.464,
2011-07,10.406,
2011-10,10.480,
2012-01,10.524,
2012-04,10.466,
2012-07,10.431,
2012-10,10.542,
2013-01,10.310,
2013-04,10.206,
2013-07,10.161,
2013-10,10.195,
2014-01,10.140,
2014-04,10.089,
2014-07,10.150,
