"",BBK01.OELM03G,BBK01.OELM03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:38,
2002-01,0.625,
2002-04,0.689,
2002-07,0.671,
2002-10,0.850,
2003-01,0.699,
2003-04,0.648,
2003-07,0.697,
2003-10,0.826,
2004-01,0.608,
2004-04,0.706,
2004-07,0.792,
2004-10,0.907,
2005-01,0.776,
2005-04,0.816,
2005-07,0.814,
2005-10,0.941,
2006-01,0.834,
2006-04,0.897,
2006-07,1.019,
2006-10,1.292,
2007-01,1.193,
2007-04,1.307,
2007-07,1.272,
2007-10,1.474,
2008-01,1.207,
2008-04,1.174,
2008-07,1.222,
2008-10,1.293,
2009-01,1.198,
2009-04,1.190,
2009-07,1.077,
2009-10,1.029,
2010-01,0.871,
2010-04,0.960,
2010-07,0.953,
2010-10,0.905,
2011-01,0.868,
2011-04,0.951,
2011-07,1.091,
2011-10,1.186,
2012-01,1.183,
2012-04,1.120,
2012-07,1.160,
2012-10,1.301,
2013-01,1.621,
2013-04,1.432,
2013-07,1.538,
2013-10,1.412,
2014-01,1.497,
2014-04,1.568,
2014-07,2.067,
