"",BBFB1.Q.N.DE.B2.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:38,
1991-01,14638.142,
1991-04,4565.629,
1991-07,13007.768,
1991-10,14155.515,
1992-01,2456.389,
1992-04,6514.361,
1992-07,40352.966,
1992-10,26800.495,
1993-01,38710.662,
1993-04,33760.042,
1993-07,22504.086,
1993-10,32585.257,
1994-01,1486.301,
1994-04,-198.264,
1994-07,15764.268,
1994-10,31932.071,
1995-01,25456.354,
1995-04,27349.172,
1995-07,16925.447,
1995-10,15044.435,
1996-01,21146.970,
1996-04,23601.873,
1996-07,5268.779,
1996-10,35114.550,
1997-01,53278.771,
1997-04,34344.022,
1997-07,23320.317,
1997-10,33907.329,
1998-01,74799.494,
1998-04,60076.542,
1998-07,41465.411,
1998-10,36053.792,
1999-01,80260.559,
1999-04,53488.118,
1999-07,53750.663,
1999-10,62871.871,
2000-01,179334.915,
2000-04,108349.484,
2000-07,81350.189,
2000-10,14593.438,
2001-01,109117.928,
2001-04,23534.424,
2001-07,44768.543,
2001-10,7767.816,
2002-01,41229.226,
2002-04,72596.855,
2002-07,88537.761,
2002-10,15158.763,
2003-01,83950.618,
2003-04,38707.079,
2003-07,16512.091,
2003-10,-4582.901,
2004-01,72134.707,
2004-04,-25336.303,
2004-07,78849.768,
2004-10,10205.645,
2005-01,120331.578,
2005-04,43973.846,
2005-07,34749.175,
2005-10,30419.739,
2006-01,127659.352,
2006-04,8052.098,
2006-07,27882.501,
2006-10,32573.036,
2007-01,115145.394,
2007-04,109808.095,
2007-07,120231.987,
2007-10,12587.646,
2008-01,128144.930,
2008-04,-35258.471,
2008-07,57863.132,
2008-10,-148624.405,
2009-01,-60325.298,
2009-04,34873.552,
2009-07,-52169.712,
2009-10,-16224.887,
2010-01,47959.525,
2010-04,58376.495,
2010-07,76206.400,
2010-10,49551.567,
2011-01,-3732.553,
2011-04,23859.749,
2011-07,135776.569,
2011-10,-106551.865,
2012-01,197823.238,
2012-04,-13552.407,
2012-07,-43231.745,
2012-10,-58073.742,
2013-01,-27496.576,
2013-04,2837.340,
2013-07,-68323.412,
2013-10,-93250.709,
2014-01,44561.511,Provisional value
2014-04,26928.749,Provisional value
2014-07,-13601.530,Provisional value
2014-10,-69992.275,Provisional value
