"",BBK01.CELE0N,BBK01.CELE0N_FLAGS
"",short-term loans                                              debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:01,
1999-01,11.7,
1999-04,17.0,
1999-07,-7.2,
1999-10,19.9,
2000-01,18.9,
2000-04,21.3,
2000-07,20.0,
2000-10,-6.2,
2001-01,8.1,
2001-04,7.5,
2001-07,0.4,
2001-10,-15.9,
2002-01,-0.3,
2002-04,-7.0,
2002-07,-1.8,
2002-10,-8.1,
2003-01,13.1,
2003-04,6.4,
2003-07,2.5,
2003-10,-12.5,
2004-01,5.7,
2004-04,-8.0,
2004-07,-2.1,
2004-10,-4.5,
2005-01,-7.6,
2005-04,1.2,
2005-07,6.3,
2005-10,15.4,
2006-01,9.6,
2006-04,19.6,
2006-07,11.0,
2006-10,-4.1,
2007-01,35.5,
2007-04,27.2,
2007-07,1.5,
2007-10,-31.3,
2008-01,13.0,
2008-04,14.5,
2008-07,-18.5,
2008-10,7.5,
2009-01,-7.8,
2009-04,-5.0,
2009-07,-7.1,
2009-10,29.9,
2010-01,-21.7,
2010-04,13.1,
2010-07,29.1,
2010-10,91.9,
2011-01,-11.2,
2011-04,25.0,
2011-07,50.2,
2011-10,16.0,
2012-01,-13.5,
2012-04,22.3,
2012-07,-33.4,
2012-10,-6.9,
2013-01,17.1,
2013-04,39.8,
2013-07,-34.2,
2013-10,-21.6,
2014-01,4.6,
2014-04,9.9,
2014-07,-11.8,
