"",BBSF2.M.1.S.I0123.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0123.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Other financial intermediaries / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:55,
2009-09,5,
2009-10,0,
2009-11,65,
2009-12,177,
2010-01,626,
2010-02,56,
2010-03,17,
2010-04,3,
2010-05,9,
2010-06,2527,
2010-07,1165,
2010-08,133,
2010-09,33,
2010-10,83,
2010-11,307,
2010-12,352,
2011-01,211,
2011-02,21,
2011-03,40,
2011-04,45,
2011-05,57,
2011-06,160,
2011-07,236,
2011-08,2,
2011-09,59,
2011-10,1380,
2011-11,220,
2011-12,771,
2012-01,13,
2012-02,16,
2012-03,4,
2012-04,1,
2012-05,11,
2012-06,107,
2012-07,1,
2012-08,242,
2012-09,328,
2012-10,30,
2012-11,71,
2012-12,273,
2013-01,657,
2013-02,701,
2013-03,350,
2013-04,107,
2013-05,303,
2013-06,494,
2013-07,146,
2013-08,142,
2013-09,1,
2013-10,38,
2013-11,205,
2013-12,395,
2014-01,427,
2014-02,100,
2014-03,78,
2014-04,87,
2014-05,2,
2014-06,28,
2014-07,13,
2014-08,25,
2014-09,169,
2014-10,5,
2014-11,288,
