"",BBK01.OEXB23N,BBK01.OEXB23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:05,
2002-01,0.405,
2002-04,0.407,
2002-07,0.250,
2002-10,0.190,
2003-01,0.136,
2003-04,0.127,
2003-07,0.080,
2003-10,0.056,
2004-01,0.352,
2004-04,0.386,
2004-07,0.386,
2004-10,0.202,
2005-01,0.053,
2005-04,0.025,
2005-07,0.026,
2005-10,0.028,
2006-01,0.024,
2006-04,0.036,
2006-07,0.039,
2006-10,0.038,
2007-01,0.064,
2007-04,0.021,
2007-07,0.020,
2007-10,0.349,
2008-01,0.341,
2008-04,0.058,
2008-07,0.153,
2008-10,0.154,
2009-01,0.163,
2009-04,0.246,
2009-07,0.598,
2009-10,0.264,
2010-01,0.259,
2010-04,0.272,
2010-07,0.265,
2010-10,0.273,
2011-01,0.272,
2011-04,0.269,
2011-07,0.265,
2011-10,0.214,
2012-01,0.211,
2012-04,0.206,
2012-07,0.204,
2012-10,0.201,
2013-01,0.080,
2013-04,0.160,
2013-07,0.158,
2013-10,0.156,
2014-01,0.120,
2014-04,0.132,
2014-07,0.133,
