"",BBK01.OEAA48Q,BBK01.OEAA48Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:28,
2002-01,0.955,
2002-04,0.940,
2002-07,0.952,
2002-10,0.893,
2003-01,1.071,
2003-04,1.049,
2003-07,1.023,
2003-10,1.016,
2004-01,0.986,
2004-04,0.917,
2004-07,0.914,
2004-10,0.935,
2005-01,0.868,
2005-04,0.809,
2005-07,0.786,
2005-10,0.806,
2006-01,0.800,
2006-04,0.799,
2006-07,0.816,
2006-10,0.855,
2007-01,0.846,
2007-04,0.842,
2007-07,0.856,
2007-10,0.885,
2008-01,0.877,
2008-04,0.872,
2008-07,0.891,
2008-10,0.916,
2009-01,0.886,
2009-04,0.879,
2009-07,0.886,
2009-10,0.906,
2010-01,0.887,
2010-04,0.870,
2010-07,0.883,
2010-10,0.880,
2011-01,0.883,
2011-04,0.876,
2011-07,0.887,
2011-10,0.902,
2012-01,0.878,
2012-04,0.869,
2012-07,0.885,
2012-10,0.901,
2013-01,0.968,
2013-04,0.949,
2013-07,0.518,
2013-10,0.632,
2014-01,0.655,
2014-04,0.632,
2014-07,0.633,
