"",BBK01.OEAJ06U,BBK01.OEAJ06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:34,
2002-01,0.258,
2002-04,0.247,
2002-07,0.257,
2002-10,0.253,
2003-01,0.258,
2003-04,0.240,
2003-07,0.232,
2003-10,0.232,
2004-01,0.268,
2004-04,0.264,
2004-07,0.263,
2004-10,0.274,
2005-01,0.298,
2005-04,0.327,
2005-07,0.318,
2005-10,0.301,
2006-01,0.298,
2006-04,0.295,
2006-07,0.302,
2006-10,0.293,
2007-01,0.292,
2007-04,0.289,
2007-07,0.287,
2007-10,0.283,
2008-01,0.279,
2008-04,0.280,
2008-07,0.281,
2008-10,0.265,
2009-01,0.262,
2009-04,0.257,
2009-07,0.278,
2009-10,0.270,
2010-01,0.266,
2010-04,0.252,
2010-07,0.261,
2010-10,0.243,
2011-01,0.217,
2011-04,0.211,
2011-07,0.196,
2011-10,0.191,
2012-01,0.184,
2012-04,0.180,
2012-07,0.178,
2012-10,0.163,
2013-01,0.201,
2013-04,0.203,
2013-07,0.198,
2013-10,0.223,
2014-01,0.225,
2014-04,0.269,
2014-07,0.283,
