"",BBSF2.M.1.T.00000.HED01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Hedgefunds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:15,
2009-09,984,
2009-10,1029,
2009-11,1025,
2009-12,1060,
2010-01,1086,
2010-02,1103,
2010-03,1361,
2010-04,1481,
2010-05,1558,
2010-06,1407,
2010-07,1149,
2010-08,1155,
2010-09,1175,
2010-10,1182,
2010-11,1169,
2010-12,1204,
2011-01,1216,
2011-02,1234,
2011-03,1236,
2011-04,1284,
2011-05,1283,
2011-06,1239,
2011-07,1263,
2011-08,1208,
2011-09,1188,
2011-10,1269,
2011-11,1244,
2011-12,1259,
2012-01,1321,
2012-02,1345,
2012-03,1440,
2012-04,1561,
2012-05,1522,
2012-06,1509,
2012-07,1527,
2012-08,1528,
2012-09,1561,
2012-10,1600,
2012-11,1562,
2012-12,1574,
2013-01,1613,
2013-02,1663,
2013-03,1711,
2013-04,1753,
2013-05,1820,
2013-06,1773,
2013-07,1835,
2013-08,1821,
2013-09,1861,
2013-10,1927,
2013-11,1931,
2013-12,1907,
2014-01,1949,
2014-02,1988,
2014-03,2015,
2014-04,2078,
2014-05,2112,
2014-06,2083,
2014-07,2116,
2014-08,2152,
2014-09,2153,
2014-10,2220,
2014-11,2254,
