"",BBFN1.M.DE.N.1.L.SK.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SK.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Slovak Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:38,
1995-01,0.107,
1995-02,0.116,
1995-03,0.112,
1995-04,0.108,
1995-05,0.120,
1995-06,0.130,
1995-07,0.101,
1995-08,0.106,
1995-09,0.109,
1995-10,0.117,
1995-11,0.140,
1995-12,0.132,
1996-01,0.150,
1996-02,0.141,
1996-03,0.131,
1996-04,0.147,
1996-05,0.151,
1996-06,0.162,
1996-07,0.159,
1996-08,0.157,
1996-09,0.164,
1996-10,0.163,
1996-11,0.192,
1996-12,0.169,
1997-01,0.190,
1997-02,0.186,
1997-03,0.183,
1997-04,0.203,
1997-05,0.218,
1997-06,0.167,
1997-07,0.184,
1997-08,0.160,
1997-09,0.193,
1997-10,0.222,
1997-11,0.266,
1997-12,0.201,
1998-01,0.193,
1998-02,0.232,
1998-03,0.295,
1998-04,0.275,
1998-05,0.268,
1998-06,0.300,
1998-07,0.455,
1998-08,0.507,
1998-09,0.324,
1998-10,0.308,
1998-11,0.327,
1998-12,0.296,
1999-01,0.300,
1999-02,0.289,
1999-03,0.294,
1999-04,0.320,
1999-05,0.304,
1999-06,0.317,
1999-07,0.271,
1999-08,0.290,
1999-09,0.318,
1999-10,0.283,
1999-11,0.341,
1999-12,0.285,
2000-01,0.423,
2000-02,0.377,
2000-03,0.397,
2000-04,0.370,
2000-05,0.405,
2000-06,0.410,
2000-07,0.491,
2000-08,0.372,
2000-09,0.382,
2000-10,0.439,
2000-11,0.471,
2000-12,0.431,
2001-01,0.435,
2001-02,0.519,
2001-03,0.579,
2001-04,0.523,
2001-05,0.530,
2001-06,0.383,
2001-07,0.487,
2001-08,0.378,
2001-09,0.344,
2001-10,0.430,
2001-11,0.442,
2001-12,0.328,
2002-01,0.330,
2002-02,0.413,
2002-03,0.417,
2002-04,0.501,
2002-05,0.494,
2002-06,0.511,
2002-07,0.489,
2002-08,0.623,
2002-09,0.563,
2002-10,0.421,
2002-11,0.617,
2002-12,0.490,
2003-01,0.431,
2003-02,0.519,
2003-03,0.556,
2003-04,0.582,
2003-05,0.648,
2003-06,0.649,
2003-07,0.746,
2003-08,0.791,
2003-09,0.791,
2003-10,0.757,
2003-11,0.892,
2003-12,0.720,
2004-01,0.668,
2004-02,0.714,
2004-03,0.734,
2004-04,0.674,
2004-05,0.626,
2004-06,0.735,
2004-07,0.727,
2004-08,0.677,
2004-09,0.730,
2004-10,0.794,
2004-11,0.813,
2004-12,0.707,
2005-01,0.612,
2005-02,0.848,
2005-03,0.847,
2005-04,0.892,
2005-05,0.890,
2005-06,0.948,
2005-07,0.933,
2005-08,0.848,
2005-09,0.939,
2005-10,0.872,
2005-11,0.987,
2005-12,1.207,
2006-01,1.251,
2006-02,1.409,
2006-03,1.561,
2006-04,1.421,
2006-05,1.665,
2006-06,1.773,
2006-07,1.610,
2006-08,1.913,
2006-09,1.669,
2006-10,1.658,
2006-11,1.732,
2006-12,1.455,
2007-01,1.511,
2007-02,1.397,
2007-03,1.769,
2007-04,1.630,
2007-05,1.658,
2007-06,1.552,
2007-07,1.464,
2007-08,1.380,
2007-09,1.624,
2007-10,1.717,
2007-11,1.810,
2007-12,1.539,
2008-01,1.632,
2008-02,1.822,
2008-03,1.827,
2008-04,1.953,
2008-05,2.015,
2008-06,2.072,
2008-07,2.070,
2008-08,2.002,
2008-09,2.238,
2008-10,2.177,
2008-11,2.202,
2008-12,1.907,
2009-01,2.158,
2009-02,2.165,
2009-03,2.112,
2009-04,1.574,
2009-05,1.680,
2009-06,1.784,
2009-07,1.524,
2009-08,1.473,
2009-09,1.310,
2009-10,1.325,
2009-11,1.434,
2009-12,1.303,
2010-01,1.357,
2010-02,1.532,
2010-03,1.680,
2010-04,1.770,
2010-05,1.847,
2010-06,1.904,
2010-07,1.771,
2010-08,1.675,
2010-09,1.956,
2010-10,2.040,
2010-11,1.994,
2010-12,1.540,
2011-01,1.586,
2011-02,1.893,
2011-03,1.965,
2011-04,1.829,
2011-05,1.679,
2011-06,1.866,
2011-07,1.460,
2011-08,1.581,
2011-09,1.925,
2011-10,1.934,
2011-11,1.978,
2011-12,1.878,
2012-01,1.637,
2012-02,1.952,
2012-03,1.859,
2012-04,1.877,
2012-05,2.006,
2012-06,1.775,
2012-07,1.862,
2012-08,1.804,
2012-09,1.754,
2012-10,1.763,
2012-11,1.738,
2012-12,1.815,
2013-01,1.781,
2013-02,1.915,
2013-03,2.108,
2013-04,2.132,
2013-05,2.172,
2013-06,1.956,
2013-07,2.244,
2013-08,1.864,
2013-09,2.156,
2013-10,2.082,
2013-11,2.447,
2013-12,1.929,
2014-01,2.072,
2014-02,2.531,
2014-03,2.493,
2014-04,2.332,
2014-05,2.098,
2014-06,2.175,
2014-07,1.750,
2014-08,1.986,
2014-09,2.322,
2014-10,2.574,
2014-11,2.470,
2014-12,1.990,
