"",BBK01.OEAD32V,BBK01.OEAD32V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:08,
2002-01,0.106,
2002-04,0.098,
2002-07,0.100,
2002-10,0.095,
2003-01,0.102,
2003-04,0.092,
2003-07,0.088,
2003-10,0.083,
2004-01,0.088,
2004-04,0.081,
2004-07,0.084,
2004-10,0.081,
2005-01,0.078,
2005-04,0.080,
2005-07,0.084,
2005-10,0.081,
2006-01,0.075,
2006-04,0.074,
2006-07,0.087,
2006-10,0.091,
2007-01,0.089,
2007-04,0.089,
2007-07,0.075,
2007-10,0.082,
2008-01,0.087,
2008-04,0.087,
2008-07,0.089,
2008-10,0.089,
2009-01,0.082,
2009-04,0.073,
2009-07,0.075,
2009-10,0.073,
2010-01,0.097,
2010-04,0.097,
2010-07,0.097,
2010-10,0.097,
2011-01,0.095,
2011-04,0.095,
2011-07,0.086,
2011-10,0.092,
2012-01,0.089,
2012-04,0.091,
2012-07,0.098,
2012-10,0.084,
2013-01,0.083,
2013-04,0.082,
2013-07,0.086,
2013-10,0.107,
2014-01,0.100,
2014-04,0.105,
2014-07,0.084,
