"",BBK01.OEYJ03O,BBK01.OEYJ03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:44,
2002-01,5.410,
2002-04,5.641,
2002-07,5.760,
2002-10,6.020,
2003-01,6.143,
2003-04,6.432,
2003-07,7.249,
2003-10,7.405,
2004-01,8.334,
2004-04,8.276,
2004-07,8.915,
2004-10,9.334,
2005-01,9.680,
2005-04,9.583,
2005-07,9.922,
2005-10,10.200,
2006-01,10.842,
2006-04,10.696,
2006-07,11.169,
2006-10,11.215,
2007-01,11.231,
2007-04,11.359,
2007-07,11.643,
2007-10,12.679,
2008-01,13.084,
2008-04,13.248,
2008-07,8.285,
2008-10,8.472,
2009-01,9.419,
2009-04,9.420,
2009-07,9.846,
2009-10,10.325,
2010-01,10.277,
2010-04,10.060,
2010-07,10.126,
2010-10,9.943,
2011-01,9.616,
2011-04,9.693,
2011-07,9.971,
2011-10,9.699,
2012-01,9.541,
2012-04,8.964,
2012-07,8.964,
2012-10,8.593,
2013-01,8.114,
2013-04,7.884,
2013-07,7.367,
2013-10,7.252,
2014-01,6.910,
2014-04,6.738,
2014-07,6.434,
