"",BBK01.OEAD03R,BBK01.OEAD03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:30,
2002-01,0.025,
2002-04,0.029,
2002-07,0.036,
2002-10,0.039,
2003-01,0.040,
2003-04,0.037,
2003-07,0.035,
2003-10,0.038,
2004-01,0.040,
2004-04,0.041,
2004-07,0.040,
2004-10,0.038,
2005-01,0.032,
2005-04,0.034,
2005-07,0.029,
2005-10,0.031,
2006-01,0.035,
2006-04,0.034,
2006-07,0.032,
2006-10,0.026,
2007-01,0.026,
2007-04,0.024,
2007-07,0.024,
2007-10,0.020,
2008-01,0.020,
2008-04,0.023,
2008-07,0.017,
2008-10,0.018,
2009-01,0.017,
2009-04,0.019,
2009-07,0.015,
2009-10,0.015,
2010-01,0.014,
2010-04,0.012,
2010-07,0.012,
2010-10,0.015,
2011-01,0.016,
2011-04,0.015,
2011-07,0.015,
2011-10,0.014,
2012-01,0.013,
2012-04,0.014,
2012-07,0.012,
2012-10,0.014,
2013-01,0.015,
2013-04,0.017,
2013-07,0.016,
2013-10,0.019,
2014-01,0.017,
2014-04,0.018,
2014-07,0.020,
