"",BBK01.OECI02H,BBK01.OECI02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:26,
2002-01,22.090,
2002-04,27.089,
2002-07,25.760,
2002-10,27.590,
2003-01,26.265,
2003-04,29.164,
2003-07,28.881,
2003-10,26.379,
2004-01,29.246,
2004-04,29.063,
2004-07,27.855,
2004-10,26.938,
2005-01,35.472,
2005-04,34.542,
2005-07,35.695,
2005-10,36.115,
2006-01,39.001,
2006-04,40.608,
2006-07,39.160,
2006-10,38.357,
2007-01,45.562,
2007-04,47.392,
2007-07,45.771,
2007-10,42.765,
2008-01,51.423,
2008-04,53.840,
2008-07,58.433,
2008-10,60.964,
2009-01,69.639,
2009-04,53.588,
2009-07,52.490,
2009-10,48.616,
2010-01,52.169,
2010-04,59.477,
2010-07,64.223,
2010-10,61.247,
2011-01,62.405,
2011-04,65.456,
2011-07,64.525,
2011-10,63.023,
2012-01,68.148,
2012-04,69.457,
2012-07,74.769,
2012-10,71.005,
2013-01,69.891,
2013-04,69.132,
2013-07,68.690,
2013-10,68.769,
2014-01,70.951,
2014-04,73.567,
2014-07,70.905,
