"",BBNZ1.Q.DE.N.H.0940.A,BBNZ1.Q.DE.N.H.0940.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Real estate activities,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:01,
1991-01,78.82,
1991-04,90.51,
1991-07,92.50,
1991-10,106.27,
1992-01,91.49,
1992-04,93.28,
1992-07,100.34,
1992-10,115.34,
1993-01,99.56,
1993-04,102.57,
1993-07,107.19,
1993-10,123.18,
1994-01,105.08,
1994-04,107.40,
1994-07,110.26,
1994-10,125.29,
1995-01,101.53,
1995-04,104.10,
1995-07,108.31,
1995-10,121.25,
1996-01,100.70,
1996-04,101.09,
1996-07,104.08,
1996-10,116.96,
1997-01,102.01,
1997-04,103.61,
1997-07,106.14,
1997-10,119.18,
1998-01,105.75,
1998-04,108.64,
1998-07,113.64,
1998-10,128.98,
1999-01,110.23,
1999-04,115.27,
1999-07,120.31,
1999-10,133.52,
2000-01,110.89,
2000-04,112.93,
2000-07,116.21,
2000-10,130.67,
2001-01,108.72,
2001-04,111.02,
2001-07,112.82,
2001-10,124.65,
2002-01,104.51,
2002-04,107.41,
2002-07,109.51,
2002-10,121.64,
2003-01,106.89,
2003-04,106.93,
2003-07,109.15,
2003-10,122.97,
2004-01,100.64,
2004-04,101.22,
2004-07,102.90,
2004-10,116.73,
2005-01,98.78,
2005-04,102.18,
2005-07,102.42,
2005-10,116.32,
2006-01,98.03,
2006-04,98.99,
2006-07,103.56,
2006-10,114.90,
2007-01,95.72,
2007-04,96.03,
2007-07,99.15,
2007-10,110.84,
2008-01,92.21,
2008-04,95.22,
2008-07,99.40,
2008-10,110.72,
2009-01,91.90,
2009-04,92.88,
2009-07,96.48,
2009-10,109.31,
2010-01,92.67,
2010-04,96.40,
2010-07,98.84,
2010-10,112.79,
2011-01,93.57,
2011-04,97.03,
2011-07,99.46,
2011-10,113.63,
2012-01,100.65,
2012-04,102.21,
2012-07,105.72,
2012-10,118.19,
2013-01,96.26,
2013-04,98.43,
2013-07,100.72,
2013-10,113.47,
2014-01,97.89,
2014-04,98.05,
2014-07,102.04,
2014-10,114.09,
