"",BBFB1.Q.N.DE.F1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:12,
1991-01,-112.514,
1991-04,-91.767,
1991-07,-139.292,
1991-10,-127.199,
1992-01,-112.247,
1992-04,-96.547,
1992-07,-106.124,
1992-10,-113.725,
1993-01,-101.022,
1993-04,-86.167,
1993-07,-111.943,
1993-10,-132.301,
1994-01,-100.970,
1994-04,-92.487,
1994-07,-113.677,
1994-10,-131.518,
1995-01,-114.021,
1995-04,-117.255,
1995-07,-122.177,
1995-10,-136.451,
1996-01,-121.789,
1996-04,-113.614,
1996-07,-121.957,
1996-10,-151.462,
1997-01,-125.726,
1997-04,-118.596,
1997-07,-130.136,
1997-10,-146.111,
1998-01,-120.749,
1998-04,-107.284,
1998-07,-127.795,
1998-10,-165.239,
1999-01,-85.532,
1999-04,-109.327,
1999-07,-191.967,
1999-10,-170.280,
2000-01,-138.496,
2000-04,-203.524,
2000-07,-131.798,
2000-10,-105.146,
2001-01,-93.131,
2001-04,-143.638,
2001-07,134.743,
2001-10,-69.916,
2002-01,32.610,
2002-04,-138.576,
2002-07,-127.457,
2002-10,-158.516,
2003-01,-113.067,
2003-04,-85.511,
2003-07,9.913,
2003-10,-110.281,
2004-01,-125.065,
2004-04,-138.949,
2004-07,-122.754,
2004-10,-42.186,
2005-01,-145.190,
2005-04,-159.253,
2005-07,-180.436,
2005-10,-177.449,
2006-01,-155.416,
2006-04,-164.047,
2006-07,-153.711,
2006-10,-215.351,
2007-01,-161.086,
2007-04,-156.883,
2007-07,-163.136,
2007-10,-149.897,
2008-01,-149.629,
2008-04,-165.752,
2008-07,-160.651,
2008-10,-193.634,
2009-01,-187.702,
2009-04,-133.948,
2009-07,-167.440,
2009-10,-207.499,
2010-01,-162.075,
2010-04,-162.451,
2010-07,-180.591,
2010-10,-259.326,
2011-01,-148.780,
2011-04,-162.869,
2011-07,-188.026,
2011-10,-271.368,
2012-01,-159.781,
2012-04,-153.000,
2012-07,-196.466,
2012-10,-297.365,
2013-01,-207.483,
2013-04,-236.297,
2013-07,-245.560,
2013-10,-417.768,
2014-01,-178.302,Provisional value
2014-04,-230.623,Provisional value
2014-07,-233.209,Provisional value
