"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.SI.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.SI.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Slovenia / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:04,
2009-09,57,
2009-10,60,
2009-11,61,
2009-12,54,
2010-01,55,
2010-02,54,
2010-03,49,
2010-04,58,
2010-05,59,
2010-06,58,
2010-07,55,
2010-08,54,
2010-09,53,
2010-10,53,
2010-11,51,
2010-12,49,
2011-01,50,
2011-02,42,
2011-03,40,
2011-04,39,
2011-05,36,
2011-06,35,
2011-07,17,
2011-08,17,
2011-09,17,
2011-10,11,
2011-11,10,
2011-12,12,
2012-01,13,
2012-02,13,
2012-03,13,
2012-04,14,
2012-05,13,
2012-06,12,
2012-07,7,
2012-08,5,
2012-09,9,
2012-10,10,
2012-11,10,
2012-12,11,
2013-01,11,
2013-02,12,
2013-03,15,
2013-04,19,
2013-05,29,
2013-06,29,
2013-07,36,
2013-08,38,
2013-09,42,
2013-10,47,
2013-11,49,
2013-12,50,
2014-01,40,
2014-02,40,
2014-03,45,
2014-04,40,
2014-05,40,
2014-06,45,
2014-07,46,
2014-08,42,
2014-09,41,
2014-10,35,
2014-11,32,
