"",BBFB1.Q.N.DE.A2.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:30,
1991-01,1478.700,
1991-04,2188.540,
1991-07,1490.711,
1991-10,1517.100,
1992-01,709.671,
1992-04,1007.482,
1992-07,729.180,
1992-10,119.168,
1993-01,996.927,
1993-04,984.321,
1993-07,1003.044,
1993-10,856.521,
1994-01,1624.627,
1994-04,1675.078,
1994-07,1622.196,
1994-10,1779.991,
1995-01,1937.522,
1995-04,1238.284,
1995-07,1764.060,
1995-10,1614.456,
1996-01,988.162,
1996-04,1628.897,
1996-07,1395.458,
1996-10,1890.316,
1997-01,1641.721,
1997-04,2438.131,
1997-07,1967.466,
1997-10,2583.150,
1998-01,1730.772,
1998-04,2598.726,
1998-07,2805.270,
1998-10,3115.425,
1999-01,2890.332,
1999-04,2439.738,
1999-07,2122.877,
1999-10,3170.488,
2000-01,3508.136,
2000-04,3812.594,
2000-07,3677.794,
2000-10,5467.797,
2001-01,3335.352,
2001-04,3657.500,
2001-07,2994.144,
2001-10,2860.822,
2002-01,3296.075,
2002-04,3832.471,
2002-07,3229.831,
2002-10,3242.651,
2003-01,2829.476,
2003-04,2959.614,
2003-07,2656.574,
2003-10,2594.551,
2004-01,213.784,
2004-04,801.606,
2004-07,62.975,
2004-10,143.761,
2005-01,2174.063,
2005-04,3082.125,
2005-07,2126.895,
2005-10,2206.152,
2006-01,2430.044,
2006-04,4089.342,
2006-07,2462.258,
2006-10,2537.919,
2007-01,3486.544,
2007-04,6128.668,
2007-07,3100.290,
2007-10,2837.344,
2008-01,6635.036,
2008-04,4290.848,
2008-07,-770.465,
2008-10,1858.395,
2009-01,3007.077,
2009-04,5535.194,
2009-07,3017.952,
2009-10,3354.485,
2010-01,2998.295,
2010-04,5793.682,
2010-07,3191.026,
2010-10,3160.969,
2011-01,3352.629,
2011-04,6379.908,
2011-07,2844.664,
2011-10,2896.209,
2012-01,3145.441,
2012-04,6127.699,
2012-07,2781.615,
2012-10,2756.120,
2013-01,3402.231,
2013-04,6441.901,
2013-07,2979.680,
2013-10,3040.854,
2014-01,3352.611,Provisional value
2014-04,6588.211,Provisional value
2014-07,3003.145,Provisional value
