"",BBK01.OEAE08T,BBK01.OEAE08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:04,
2002-01,0.075,
2002-04,0.074,
2002-07,0.072,
2002-10,0.070,
2003-01,0.070,
2003-04,0.066,
2003-07,0.065,
2003-10,0.064,
2004-01,0.047,
2004-04,0.048,
2004-07,0.046,
2004-10,0.046,
2005-01,0.045,
2005-04,0.046,
2005-07,0.044,
2005-10,0.045,
2006-01,0.041,
2006-04,0.042,
2006-07,0.039,
2006-10,0.038,
2007-01,0.037,
2007-04,0.037,
2007-07,0.038,
2007-10,0.038,
2008-01,0.036,
2008-04,0.036,
2008-07,0.033,
2008-10,0.035,
2009-01,0.034,
2009-04,0.037,
2009-07,0.035,
2009-10,0.029,
2010-01,0.030,
2010-04,0.031,
2010-07,0.029,
2010-10,0.027,
2011-01,0.031,
2011-04,0.032,
2011-07,0.036,
2011-10,0.036,
2012-01,0.038,
2012-04,0.039,
2012-07,0.037,
2012-10,0.036,
2013-01,0.041,
2013-04,0.040,
2013-07,0.040,
2013-10,0.037,
2014-01,0.042,
2014-04,0.040,
2014-07,0.038,
