"",BBFN1.M.DE.N.1.A.LU.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LU.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1995-08,31.754,
1995-09,29.655,
1995-10,31.080,
1995-11,29.963,
1995-12,30.354,
1996-01,29.471,
1996-02,30.098,
1996-03,32.485,
1996-04,32.546,
1996-05,32.133,
1996-06,29.913,
1996-07,29.375,
1996-08,29.560,
1996-09,29.639,
1996-10,29.538,
1996-11,31.142,
1996-12,29.551,
1997-01,33.108,
1997-02,33.169,
1997-03,33.696,
1997-04,30.688,
1997-05,30.065,
1997-06,29.975,
1997-07,31.237,
1997-08,28.440,
1997-09,27.290,
1997-10,26.589,
1997-11,26.472,
1997-12,25.985,
1998-01,28.509,
1998-02,27.247,
1998-03,28.662,
1998-04,30.341,
1998-05,29.527,
1998-06,28.860,
1998-07,27.810,
1998-08,28.429,
1998-09,29.477,
1998-10,29.128,
1998-11,27.396,
1998-12,26.164,
1999-01,22.221,
1999-02,20.571,
1999-03,20.249,
1999-04,20.988,
1999-05,19.831,
1999-06,20.648,
1999-07,21.722,
1999-08,21.227,
1999-09,20.691,
1999-10,19.293,
1999-11,19.101,
1999-12,18.687,
2000-01,18.531,
2000-02,19.310,
2000-03,20.751,
2000-04,20.581,
2000-05,18.050,
2000-06,17.079,
2000-07,20.434,
2000-08,35.660,
2000-09,25.625,
2000-10,26.162,
2000-11,24.693,
2000-12,23.878,
2001-01,28.448,
2001-02,29.342,
2001-03,29.316,
2001-04,27.065,
2001-05,26.586,
2001-06,26.651,
2001-07,31.775,
2001-08,29.105,
2001-09,20.381,
2001-10,20.533,
2001-11,22.040,
2001-12,22.635,
2002-01,28.255,
2002-02,24.943,
2002-03,23.841,
2002-04,31.526,
2002-05,32.624,
2002-06,25.098,
2002-07,22.930,
2002-08,24.109,
2002-09,25.657,
2002-10,24.058,
2002-11,22.025,
2002-12,21.199,
2003-01,23.680,
2003-02,22.770,
2003-03,22.843,
2003-04,25.532,
2003-05,26.705,
2003-06,26.342,
2003-07,27.506,
2003-08,24.794,
2003-09,27.400,
2003-10,27.108,
2003-11,25.420,
2003-12,27.476,
2004-01,28.301,
2004-02,28.611,
2004-03,30.525,
2004-04,26.527,
2004-05,23.053,
2004-06,24.324,
2004-07,25.366,
2004-08,25.818,
2004-09,28.709,
2004-10,26.061,
2004-11,23.310,
2004-12,29.873,
2005-01,28.033,
2005-02,26.114,
2005-03,31.955,
2005-04,27.334,
2005-05,26.541,
2005-06,24.787,
2005-07,26.311,
2005-08,28.835,
2005-09,31.038,
2005-10,28.445,
2005-11,27.940,
2005-12,29.512,
2006-01,27.560,
2006-02,29.349,
2006-03,31.394,
2006-04,30.854,
2006-05,28.390,
2006-06,29.723,
2006-07,24.981,
2006-08,26.760,
2006-09,31.467,
2006-10,30.140,
2006-11,32.815,
2006-12,32.382,
2007-01,30.068,
2007-02,26.301,
2007-03,29.979,
2007-04,27.407,
2007-05,26.142,
2007-06,25.411,
2007-07,26.436,
2007-08,25.763,
2007-09,25.771,
2007-10,25.822,
2007-11,28.919,
2007-12,25.105,
2008-01,28.955,
2008-02,26.812,
2008-03,30.098,
2008-04,28.216,
2008-05,24.479,
2008-06,26.743,
2008-07,23.296,
2008-08,23.027,
2008-09,23.672,
2008-10,22.321,
2008-11,22.069,
2008-12,19.862,
2009-01,22.549,
2009-02,24.247,
2009-03,25.513,
2009-04,25.907,
2009-05,23.747,
2009-06,24.488,
2009-07,23.489,
2009-08,23.252,
2009-09,22.732,
2009-10,22.680,
2009-11,22.220,
2009-12,30.043,
2010-01,27.659,
2010-02,26.622,
2010-03,29.257,
2010-04,30.060,
2010-05,26.204,
2010-06,26.289,
2010-07,26.061,
2010-08,26.848,
2010-09,26.793,
2010-10,27.345,
2010-11,26.620,
2010-12,27.944,
2011-01,29.597,
2011-02,27.896,
2011-03,28.393,
2011-04,27.927,
2011-05,27.707,
2011-06,26.408,
2011-07,26.342,
2011-08,26.709,
2011-09,27.454,
2011-10,28.972,
2011-11,26.565,
2011-12,22.982,
2012-01,26.932,
2012-02,26.874,
2012-03,26.311,
2012-04,25.135,
2012-05,24.847,
2012-06,28.014,
2012-07,25.534,
2012-08,25.930,
2012-09,27.936,
2012-10,29.375,
2012-11,29.330,
2012-12,32.178,
2013-01,31.394,
2013-02,30.175,
2013-03,31.731,
2013-04,32.233,
2013-05,29.782,
2013-06,32.429,
2013-07,34.443,
2013-08,32.310,
2013-09,34.480,
2013-10,34.048,
2013-11,31.715,
2013-12,28.816,
2014-01,33.012,
2014-02,32.584,
2014-03,31.491,
2014-04,30.910,
2014-05,30.159,
2014-06,32.398,
2014-07,29.843,
2014-08,30.297,
2014-09,31.505,
2014-10,29.550,
2014-11,30.965,
2014-12,30.399,
