"",BBK01.OEYB19O,BBK01.OEYB19O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:45,
2002-01,0.740,
2002-04,0.750,
2002-07,0.755,
2002-10,0.761,
2003-01,0.751,
2003-04,0.749,
2003-07,0.739,
2003-10,0.717,
2004-01,0.734,
2004-04,0.739,
2004-07,0.701,
2004-10,0.689,
2005-01,0.691,
2005-04,0.688,
2005-07,0.673,
2005-10,0.641,
2006-01,0.622,
2006-04,0.613,
2006-07,0.682,
2006-10,0.692,
2007-01,0.711,
2007-04,0.732,
2007-07,0.747,
2007-10,0.777,
2008-01,0.754,
2008-04,0.798,
2008-07,0.783,
2008-10,0.785,
2009-01,0.708,
2009-04,0.694,
2009-07,0.672,
2009-10,0.665,
2010-01,0.664,
2010-04,0.714,
2010-07,0.711,
2010-10,0.713,
2011-01,0.721,
2011-04,0.743,
2011-07,0.776,
2011-10,0.797,
2012-01,0.786,
2012-04,0.764,
2012-07,0.733,
2012-10,0.694,
2013-01,0.654,
2013-04,0.620,
2013-07,0.593,
2013-10,0.560,
2014-01,0.512,
2014-04,0.478,
2014-07,0.481,
