"",BBFB1.Q.N.DE.S3.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:37,
1991-01,252.671,
1991-04,313.292,
1991-07,248.688,
1991-10,236.434,
1992-01,192.890,
1992-04,251.414,
1992-07,175.181,
1992-10,178.472,
1993-01,213.871,
1993-04,245.297,
1993-07,201.276,
1993-10,191.565,
1994-01,196.366,
1994-04,260.102,
1994-07,199.360,
1994-10,189.574,
1995-01,183.711,
1995-04,238.463,
1995-07,176.480,
1995-10,184.570,
1996-01,149.676,
1996-04,166.861,
1996-07,160.001,
1996-10,170.190,
1997-01,197.542,
1997-04,273.040,
1997-07,247.002,
1997-10,214.810,
1998-01,210.183,
1998-04,975.302,
1998-07,205.336,
1998-10,196.933,
1999-01,260.407,
1999-04,418.069,
1999-07,238.314,
1999-10,261.042,
2000-01,299.294,
2000-04,477.155,
2000-07,312.093,
2000-10,293.982,
2001-01,207.890,
2001-04,348.739,
2001-07,174.547,
2001-10,177.236,
2002-01,219.783,
2002-04,295.104,
2002-07,209.702,
2002-10,220.523,
2003-01,195.044,
2003-04,300.855,
2003-07,141.055,
2003-10,114.813,
2004-01,116.769,
2004-04,239.214,
2004-07,125.813,
2004-10,133.556,
2005-01,142.491,
2005-04,272.618,
2005-07,157.254,
2005-10,170.012,
2006-01,189.236,
2006-04,290.094,
2006-07,221.135,
2006-10,232.624,
2007-01,298.433,
2007-04,371.978,
2007-07,264.471,
2007-10,223.636,
2008-01,289.958,
2008-04,233.784,
2008-07,-11.144,
2008-10,48.102,
2009-01,62.057,
2009-04,80.672,
2009-07,28.204,
2009-10,13.642,
2010-01,88.517,
2010-04,105.525,
2010-07,116.969,
2010-10,119.604,
2011-01,85.556,
2011-04,112.556,
2011-07,80.075,
2011-10,64.697,
2012-01,59.812,
2012-04,126.378,
2012-07,55.307,
2012-10,52.092,
2013-01,62.601,
2013-04,149.446,
2013-07,59.097,
2013-10,60.420,
2014-01,60.801,Provisional value
2014-04,160.085,Provisional value
2014-07,55.868,Provisional value
