"",BBDA1.M.DE.S.IM.S.A.W1.A.E.I10.A,BBDA1.M.DE.S.IM.S.A.W1.A.E.I10.A_FLAGS
"",German foreign trade: imports / Unit value / Aggregate / all goods / Rest of the World / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 08:07:22,
2008-01,101.4,
2008-02,103.1,
2008-03,101.8,
2008-04,103.7,
2008-05,103.5,
2008-06,106.8,
2008-07,106.9,
2008-08,106.9,
2008-09,106.9,
2008-10,106.4,
2008-11,106.1,
2008-12,105.3,
2009-01,101.3,
2009-02,101.6,
2009-03,101.1,
2009-04,97.7,
2009-05,99.2,
2009-06,97.7,
2009-07,98.4,
2009-08,97.3,
2009-09,97.0,
2009-10,96.5,
2009-11,95.9,
2009-12,97.7,
2010-01,93.5,
2010-02,97.1,
2010-03,95.8,
2010-04,98.4,
2010-05,101.3,
2010-06,101.0,
2010-07,103.0,
2010-08,101.0,
2010-09,101.6,
2010-10,101.3,
2010-11,101.7,
2010-12,102.6,
2011-01,104.5,
2011-02,105.4,
2011-03,104.8,
2011-04,106.5,
2011-05,105.9,
2011-06,106.5,
2011-07,106.3,
2011-08,107.4,
2011-09,106.9,
2011-10,109.2,
2011-11,107.0,
2011-12,108.3,
2012-01,110.8,
2012-02,110.7,
2012-03,111.9,
2012-04,111.0,
2012-05,111.2,
2012-06,110.3,
2012-07,112.1,
2012-08,112.5,
2012-09,112.5,
2012-10,111.8,
2012-11,114.4,
2012-12,110.5,
2013-01,111.8,
2013-02,110.2,
2013-03,111.6,
2013-04,112.8,
2013-05,110.2,
2013-06,110.2,
2013-07,109.7,
2013-08,110.0,
2013-09,109.5,
2013-10,110.5,
2013-11,108.9,
2013-12,108.6,
2014-01,110.2,
2014-02,109.2,
2014-03,110.9,
2014-04,109.4,
2014-05,109.2,
2014-06,109.3,
2014-07,106.9,
2014-08,108.1,
2014-09,110.1,
2014-10,109.2,
2014-11,109.5,
2014-12,105.5,
