"",BBEX3.M.LKR.EUR.CA.AB.A01,BBEX3.M.LKR.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Sri Lanka  / EUR 1 = LKR ... (selling),
unit,LKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:49,
1999-01,79.12,
1999-02,76.91,
1999-03,74.94,
1999-04,74.63,
1999-05,74.29,
1999-06,74.39,
1999-07,76.85,
1999-08,75.74,
1999-09,76.88,
1999-10,75.77,
1999-11,73.24,
1999-12,73.25,
2000-01,72.24,
2000-02,71.91,
2000-03,71.14,
2000-04,67.88,
2000-05,70.11,
2000-06,75.91,
2000-07,72.98,
2000-08,70.46,
2000-09,70.58,
2000-10,67.36,
2000-11,70.28,
2000-12,77.34,
2001-01,84.26,
2001-02,79.48,
2001-03,77.69,
2001-04,81.00,
2001-05,78.71,
2001-06,77.32,
2001-07,79.47,
2001-08,83.32,
2001-09,83.00,
2001-10,82.45,
2001-11,83.21,
2001-12,82.81,
2002-01,81.53,
2002-02,81.99,
2002-03,84.50,
2002-04,87.46,
2002-05,90.63,
2002-06,95.27,
2002-07,95.33,
2002-08,95.39,
2002-09,94.86,
2002-10,95.31,
2002-11,96.45,
2002-12,100.37,
2003-01,105.41,
2003-02,105.13,
2003-03,104.13,
2003-04,108.65,
2003-05,116.07,
2003-06,111.84,
2003-07,110.71,
2003-08,105.84,
2003-09,110.36,
2003-10,111.20,
2003-11,115.65,
2003-12,122.34,
2004-01,121.49,
2004-02,124.25,
2004-03,119.50,
2004-04,118.58,
2004-05,121.67,
2004-06,124.49,
2004-07,125.37,
2004-08,125.25,
2004-09,128.55,
2004-10,133.27,
2004-11,139.77,
2004-12,143.08,
2005-01,130.92,
2005-02,132.89,
2005-03,129.34,
2005-04,130.01,
2005-05,126.31,
2005-06,121.94,
2005-07,123.13,
2005-08,125.00,
2005-09,123.02,
2005-10,124.03,
2005-11,121.08,
2005-12,122.20,
2006-01,124.80,
2006-02,122.60,
2006-03,126.02,
2006-04,129.81,
2006-05,133.59,
2006-06,133.27,
2006-07,133.74,
2006-08,132.37,
2006-09,133.13,
2006-10,138.24,
2006-11,143.84,
2006-12,142.85,
2007-01,141.94,
2007-02,144.93,
2007-03,147.22,
2007-04,151.07,
2007-05,150.32,
2007-06,150.98,
2007-07,154.85,
2007-08,155.77,
2007-09,162.11,
2007-10,162.24,
2007-11,164.36,
2007-12,161.62,
2008-01,160.97,
2008-02,165.05,
2008-03,171.67,
2008-04,169.21,
2008-05,168.54,
2008-06,171.42,
2008-07,169.26,
2008-08,160.32,
2008-09,156.38,
2008-10,143.16,
2008-11,143.51,
2008-12,161.17,
2009-01,148.74,
2009-02,148.36,
2009-03,154.59,
2009-04,161.63,
2009-05,162.56,
2009-06,164.11,
2009-07,164.19,
2009-08,165.73,
2009-09,169.82,
2009-10,172.37,
2009-11,174.41,
2009-12,165.39,
2010-01,161.94,
2010-02,157.49,
2010-03,154.52,
2010-04,152.59,
2010-05,141.97,
2010-06,140.26,
2010-07,148.96,
2010-08,144.32,
2010-09,154.15,
2010-10,157.32,
2010-11,148.49,
2010-12,150.04,
2011-01,153.33,
2011-02,154.26,
2011-03,158.32,
2011-04,165.24,
2011-05,159.89,
2011-06,160.85,
2011-07,159.03,
2011-08,161.63,
2011-09,151.38,
2011-10,157.10,
2011-11,154.16,
2011-12,149.59,
2012-01,152.23,
2012-02,166.66,
2012-03,173.87,
2012-04,175.18,
2012-05,166.37,
2012-06,171.28,
2012-07,164.44,
2012-08,168.58,
2012-09,170.27,
2012-10,171.21,
2012-11,171.79,
2012-12,170.96,
2013-01,174.68,
2013-02,170.32,
2013-03,164.86,
2013-04,168.67,
2013-05,167.57,
2013-06,173.21,
2013-07,177.22,
2013-08,179.48,
2013-09,181.10,
2013-10,182.91,
2013-11,181.64,
2013-12,183.39,
2014-01,179.92,
2014-02,182.42,
2014-03,182.56,
2014-04,183.14,
2014-05,180.23,
2014-06,180.62,
2014-07,177.15,
2014-08,174.32,
2014-09,168.06,
2014-10,167.56,
2014-11,166.65,
2014-12,163.11,
2015-01,153.43,
"","Source: Since 2005 Central Bank of Sri Lanka, Colombo  1999 - 2004 Commercial Bank of Ceylon Ltd., Colombo",
