"",BBK01.OEYB11P,BBK01.OEYB11P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:57,
2002-01,0.253,
2002-04,0.244,
2002-07,0.244,
2002-10,0.224,
2003-01,0.205,
2003-04,0.213,
2003-07,0.234,
2003-10,0.253,
2004-01,0.259,
2004-04,0.308,
2004-07,0.293,
2004-10,0.351,
2005-01,0.378,
2005-04,0.376,
2005-07,0.317,
2005-10,0.308,
2006-01,0.335,
2006-04,0.333,
2006-07,0.356,
2006-10,0.382,
2007-01,0.385,
2007-04,0.381,
2007-07,0.379,
2007-10,0.400,
2008-01,0.407,
2008-04,0.402,
2008-07,0.424,
2008-10,0.404,
2009-01,0.395,
2009-04,0.390,
2009-07,0.439,
2009-10,0.417,
2010-01,0.422,
2010-04,0.238,
2010-07,0.255,
2010-10,0.266,
2011-01,0.259,
2011-04,0.304,
2011-07,0.395,
2011-10,0.416,
2012-01,0.437,
2012-04,0.517,
2012-07,0.471,
2012-10,0.513,
2013-01,0.483,
2013-04,0.473,
2013-07,0.473,
2013-10,0.469,
2014-01,0.459,
2014-04,0.460,
2014-07,0.476,
