"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:29,
1971-12,3.422,
1972-01,3.460,
1972-02,3.602,
1972-03,3.782,
1972-04,3.789,
1972-05,3.901,
1972-06,3.875,
1972-07,3.819,
1972-08,3.803,
1972-09,3.902,
1972-10,3.836,
1972-11,3.825,
1972-12,3.680,
1973-01,3.737,
1973-02,3.746,
1973-03,3.720,
1973-04,3.733,
1973-05,3.750,
1973-06,3.742,
1973-07,3.729,
1973-08,3.773,
1973-09,3.776,
1973-10,3.863,
1973-11,3.902,
1973-12,3.902,
1974-01,3.972,
1974-02,4.022,
1974-03,4.046,
1974-04,4.181,
1974-05,4.186,
1974-06,4.190,
1974-07,4.154,
1974-08,4.168,
1974-09,4.190,
1974-10,4.312,
1974-11,4.357,
1974-12,4.328,
1975-01,4.473,
1975-02,4.555,
1975-03,4.630,
1975-04,4.639,
1975-05,4.581,
1975-06,4.571,
1975-07,4.590,
1975-08,4.597,
1975-09,4.599,
1975-10,4.475,
1975-11,4.447,
1975-12,4.549,
1976-01,4.754,
1976-02,4.711,
1976-03,4.722,
1976-04,4.728,
1976-05,4.755,
1976-06,4.684,
1976-07,4.758,
1976-08,4.925,
1976-09,4.906,
1976-10,4.665,
1976-11,4.633,
1976-12,4.568,
1977-01,4.646,
1977-02,4.532,
1977-03,4.507,
1977-04,4.500,
1977-05,4.532,
1977-06,4.716,
1977-07,4.697,
1977-08,4.770,
1977-09,4.716,
1977-10,4.734,
1977-11,4.718,
1977-12,4.677,
1978-01,4.715,
1978-02,4.666,
1978-03,4.645,
1978-04,4.629,
1978-05,4.632,
1978-06,4.683,
1978-07,4.757,
1978-08,4.794,
1978-09,4.862,
1978-10,4.825,
1978-11,4.803,
1978-12,4.790,
1979-01,4.831,
1979-02,4.904,
1979-03,4.893,
1979-04,4.922,
1979-05,5.026,
1979-06,5.132,
1979-07,5.144,
1979-08,5.266,
1979-09,5.326,
1979-10,5.229,
1979-11,5.301,
1979-12,5.254,
1980-01,5.290,
1980-02,5.339,
1980-03,5.259,
1980-04,5.273,
1980-05,5.370,
1980-06,5.451,
1980-07,5.589,
1980-08,5.613,
1980-09,5.725,
1980-10,6.041,
1980-11,6.241,
1980-12,6.677,
1981-01,6.908,
1981-02,6.647,
1981-03,6.821,
1981-04,7.016,
1981-05,7.208,
1981-06,7.469,
1981-07,7.581,
1981-08,7.947,
1981-09,8.046,
1981-10,8.555,
1981-11,8.443,
1981-12,8.794,
1982-01,8.859,
1982-02,8.967,
1982-03,9.020,
1982-04,9.103,
1982-05,9.111,
1982-06,9.145,
1982-07,9.264,
1982-08,9.467,
1982-09,9.334,
1982-10,9.224,
1982-11,9.413,
1982-12,9.812,
1983-01,9.726,
1983-02,9.857,
1983-03,9.840,
1983-04,9.808,
1983-05,10.011,
1983-06,10.248,
1983-07,10.175,
1983-08,10.280,
1983-09,10.397,
1983-10,10.219,
1983-11,10.256,
1983-12,10.372,
1984-01,10.194,
1984-02,10.309,
1984-03,10.418,
1984-04,10.269,
1984-05,10.302,
1984-06,10.174,
1984-07,10.291,
1984-08,10.282,
1984-09,10.259,
1984-10,10.484,
1984-11,10.520,
1984-12,10.387,
1985-01,10.329,
1985-02,10.454,
1985-03,10.473,
1985-04,10.413,
1985-05,10.123,
1985-06,9.832,
1985-07,9.835,
1985-08,9.805,
1985-09,9.816,
1985-10,9.812,
1985-11,9.765,
1985-12,9.416,
1986-01,9.505,
1986-02,9.397,
1986-03,9.440,
1986-04,9.437,
1986-05,9.421,
1986-06,9.416,
1986-07,9.275,
1986-08,9.298,
1986-09,9.039,
1986-10,9.029,
1986-11,8.714,
1986-12,8.392,
1987-01,8.463,
1987-02,8.464,
1987-03,8.421,
1987-04,8.401,
1987-05,8.356,
1987-06,8.360,
1987-07,8.377,
1987-08,8.231,
1987-09,8.148,
1987-10,7.895,
1987-11,7.881,
1987-12,7.966,
1988-01,8.027,
1988-02,7.990,
1988-03,8.098,
1988-04,8.117,
1988-05,8.141,
1988-06,8.601,
1988-07,8.556,
1988-08,8.650,
1988-09,8.451,
1988-10,8.317,
1988-11,8.266,
1988-12,8.078,
1989-01,8.122,
1989-02,7.998,
1989-03,7.945,
1989-04,8.364,
1989-05,8.251,
1989-06,8.151,
1989-07,8.094,
1989-08,8.201,
1989-09,7.810,
1989-10,7.787,
1989-11,7.995,
1989-12,7.829,
1990-01,8.650,
1990-02,8.486,
1990-03,8.731,
1990-04,8.827,
1990-05,8.892,
1990-06,9.468,
1990-07,10.068,
1990-08,9.876,
1990-09,9.678,
1990-10,9.509,
1990-11,9.646,
1990-12,9.377,
1991-01,9.400,
1991-02,9.779,
1991-03,9.736,
1991-04,9.931,
1991-05,9.688,
1991-06,9.663,
1991-07,10.028,
1991-08,9.773,
1991-09,9.694,
1991-10,9.588,
1991-11,9.907,
1991-12,9.772,
1992-01,9.743,
1992-02,9.768,
1992-03,9.822,
1992-04,10.085,
1992-05,9.848,
1992-06,9.943,
1992-07,9.967,
1992-08,10.145,
1992-09,10.386,
1992-10,10.544,
1992-11,11.069,
1992-12,11.205,
1993-01,11.309,
1993-02,11.953,
1993-03,12.201,
1993-04,12.382,
1993-05,12.830,
1993-06,12.852,
1993-07,13.047,
1993-08,13.073,
1993-09,13.021,
1993-10,12.778,
1993-11,13.110,
1993-12,13.659,
1994-01,13.861,
1994-02,13.987,
1994-03,14.349,
1994-04,14.261,
1994-05,14.572,
1994-06,14.380,
1994-07,14.984,
1994-08,15.447,
1994-09,15.027,
1994-10,14.302,
1994-11,14.355,
1994-12,15.026,
1995-01,12.781,
1995-02,12.433,
1995-03,12.568,
1995-04,12.605,
1995-05,12.602,
1995-06,12.155,
1995-07,12.514,
1995-08,12.370,
1995-09,12.789,
1995-10,13.136,
1995-11,13.618,
1995-12,12.916,
1996-01,12.758,
1996-02,12.696,
1996-03,12.467,
1996-04,12.655,
1996-05,12.797,
1996-06,12.677,
1996-07,12.613,
1996-08,12.796,
1996-09,12.775,
1996-10,12.747,
1996-11,12.627,
1996-12,12.813,
1997-01,13.273,
1997-02,13.222,
1997-03,13.125,
1997-04,13.281,
1997-05,12.881,
1997-06,12.765,
1997-07,13.011,
1997-08,13.371,
1997-09,13.212,
1997-10,13.249,
1997-11,13.400,
1997-12,13.372,
1998-01,13.341,
1998-02,13.102,
1998-03,13.161,
1998-04,13.381,
1998-05,13.511,
1998-06,14.938,
1998-07,15.260,
1998-08,15.379,
1998-09,15.785,
1998-10,15.727,
1998-11,14.972,
1998-12,15.049,
1999-01,15.582,
1999-02,15.739,
1999-03,15.497,
1999-04,15.952,
1999-05,15.902,
1999-06,15.100,
1999-07,17.150,
1999-08,17.154,
1999-09,17.661,
1999-10,17.662,
1999-11,17.470,
1999-12,17.984,
2000-01,18.263,
2000-02,17.023,
2000-03,17.113,
2000-04,16.785,
2000-05,16.884,
2000-06,16.587,
2000-07,17.224,
2000-08,17.193,
2000-09,18.601,
2000-10,19.182,
2000-11,19.860,
2000-12,20.432,
2001-01,20.640,
2001-02,23.662,
2001-03,24.079,
2001-04,27.286,
2001-05,27.475,
2001-06,27.221,
2001-07,28.688,
2001-08,30.582,
2001-09,31.112,
2001-10,31.755,
2001-11,32.990,
2001-12,32.798,
2002-01,33.841,
2002-02,33.936,
2002-03,33.066,
2002-04,33.346,
2002-05,33.245,
2002-06,33.109,
2002-07,34.636,
2002-08,34.838,
2002-09,34.702,
2002-10,35.597,
2002-11,36.030,
2002-12,34.187,
2003-01,34.588,
2003-02,35.561,
2003-03,28.803,
2003-04,29.329,
2003-05,29.806,
2003-06,31.535,
2003-07,31.765,
2003-08,33.033,
2003-09,32.936,
2003-10,33.538,
2003-11,33.570,
2003-12,32.933,
2004-01,33.474,
2004-02,35.001,
2004-03,35.201,
2004-04,35.021,
2004-05,35.240,
2004-06,35.481,
2004-07,35.019,
2004-08,34.617,
2004-09,34.376,
2004-10,32.968,
2004-11,33.246,
2004-12,34.225,
2005-01,34.146,
2005-02,36.590,
2005-03,36.885,
2005-04,36.719,
2005-05,37.801,
2005-06,39.856,
2005-07,41.161,
2005-08,41.770,
2005-09,44.837,
2005-10,45.904,
2005-11,44.885,
2005-12,45.655,
2006-01,47.281,
2006-02,49.304,
2006-03,48.462,
2006-04,49.572,
2006-05,51.323,
2006-06,56.529,
2006-07,57.810,
2006-08,60.048,
2006-09,60.966,
2006-10,62.190,
2006-11,64.382,
2006-12,66.395,
2007-01,66.886,
2007-02,66.316,
2007-03,66.763,
2007-04,68.737,
2007-05,70.054,
2007-06,70.968,
2007-07,71.439,
2007-08,75.172,
2007-09,76.654,
2007-10,78.086,
2007-11,78.216,
2007-12,81.755,
2008-01,83.224,
2008-02,90.896,
2008-03,94.471,
2008-04,96.254,
2008-05,97.307,
2008-06,98.036,
2008-07,98.112,
2008-08,99.063,
2008-09,98.568,
2008-10,99.223,
2008-11,100.229,
2008-12,106.622,
2009-01,109.422,
2009-02,111.455,
2009-03,106.739,
2009-04,107.956,
2009-05,109.357,
2009-06,109.248,
2009-07,109.691,
2009-08,115.406,
2009-09,115.035,
2009-10,112.759,
2009-11,113.169,
2009-12,112.861,
2010-01,110.953,
2010-02,110.351,
2010-03,111.353,
2010-04,111.584,
2010-05,112.481,
2010-06,111.215,
2010-07,114.526,
2010-08,112.899,
2010-09,111.735,
2010-10,109.971,
2010-11,110.115,
2010-12,114.088,
2011-01,112.374,
2011-02,109.986,
2011-03,109.110,
2011-04,104.834,
2011-05,105.211,
2011-06,102.568,
2011-07,103.280,
2011-08,102.877,
2011-09,100.329,
2011-10,100.129,
2011-11,100.325,
2011-12,100.212,
2012-01,99.669,
2012-02,98.565,
2012-03,97.806,
2012-04,99.135,
2012-05,95.449,
2012-06,94.815,
2012-07,94.470,
2012-08,96.214,
2012-09,92.356,
2012-10,93.030,
2012-11,93.529,
2012-12,91.316,
2013-01,90.452,
2013-02,89.664,
2013-03,91.328,
2013-04,89.835,
2013-05,88.029,
2013-06,85.573,
2013-07,83.892,
2013-08,80.417,
2013-09,83.784,
2013-10,80.864,
2013-11,79.804,
2013-12,75.352,
2014-01,74.411,
2014-02,73.223,
2014-03,71.775,
2014-04,72.583,
2014-05,72.449,
2014-06,72.662,
2014-07,72.629,
2014-08,72.724,
2014-09,73.022,
2014-10,72.823,
2014-11,73.519,
2014-12,73.378,
