"",BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:36,
1991-01,-0.290,
1991-04,-0.290,
1991-07,-0.290,
1991-10,-0.290,
1992-01,-0.739,
1992-04,-0.739,
1992-07,-0.739,
1992-10,-0.739,
1993-01,2.118,
1993-04,2.118,
1993-07,2.118,
1993-10,2.029,
1994-01,-4.267,
1994-04,-4.267,
1994-07,-4.267,
1994-10,-4.267,
1995-01,0.149,
1995-04,0.149,
1995-07,0.149,
1995-10,0.149,
1996-01,-3.870,
1996-04,-0.399,
1996-07,-0.399,
1996-10,-0.399,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-1.000,
1999-04,-1.000,
1999-07,-2.000,
1999-10,-,Nothing exists
2000-01,-,Nothing exists
2000-04,-1.000,
2000-07,-3.011,
2000-10,-3.013,
2001-01,-0.051,
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-,Nothing exists
2002-01,0.855,
2002-04,1.027,
2002-07,1.111,
2002-10,1.282,
2003-01,0.695,
2003-04,0.832,
2003-07,0.903,
2003-10,1.043,
2004-01,5.206,
2004-04,5.133,
2004-07,5.492,
2004-10,5.708,
2005-01,0.242,
2005-04,-0.761,
2005-07,0.254,
2005-10,0.265,
2006-01,-1.886,
2006-04,-2.031,
2006-07,-2.321,
2006-10,-2.760,
2007-01,-1.803,
2007-04,2.921,
2007-07,2.364,
2007-10,1.529,
2008-01,-2.251,
2008-04,1.254,
2008-07,2.210,
2008-10,0.620,
2009-01,0.158,
2009-04,0.295,
2009-07,3.568,
2009-10,4.978,
2010-01,2.175,
2010-04,2.749,
2010-07,3.037,
2010-10,3.040,
2011-01,-1.480,
2011-04,-2.448,
2011-07,-1.484,
2011-10,-1.588,
2012-01,-1.762,
2012-04,-2.859,
2012-07,-1.874,
2012-10,-1.813,
2013-01,-0.246,
2013-04,-1.235,
2013-07,-0.222,
2013-10,-0.223,
2014-01,-0.228,Provisional value
2014-04,-0.230,Provisional value
2014-07,-0.234,Provisional value
2014-10,-11.234,Provisional value
