"",BBK01.OEAC18N,BBK01.OEAC18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:34,
2002-01,0.427,
2002-04,1.081,
2002-07,1.039,
2002-10,0.786,
2003-01,0.513,
2003-04,0.410,
2003-07,0.489,
2003-10,0.484,
2004-01,0.613,
2004-04,0.442,
2004-07,0.444,
2004-10,0.398,
2005-01,0.661,
2005-04,0.682,
2005-07,1.156,
2005-10,0.534,
2006-01,0.647,
2006-04,0.547,
2006-07,0.363,
2006-10,0.357,
2007-01,0.501,
2007-04,0.441,
2007-07,0.370,
2007-10,0.531,
2008-01,0.598,
2008-04,0.746,
2008-07,0.460,
2008-10,0.790,
2009-01,1.471,
2009-04,1.330,
2009-07,0.737,
2009-10,0.945,
2010-01,1.156,
2010-04,1.182,
2010-07,0.942,
2010-10,0.948,
2011-01,1.182,
2011-04,1.479,
2011-07,1.252,
2011-10,1.052,
2012-01,1.352,
2012-04,1.270,
2012-07,1.092,
2012-10,0.971,
2013-01,1.368,
2013-04,1.330,
2013-07,0.917,
2013-10,0.966,
2014-01,0.945,
2014-04,1.062,
2014-07,0.864,
