"",BBK01.OECI04H,BBK01.OECI04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:39,
2002-01,18.426,
2002-04,16.162,
2002-07,17.051,
2002-10,14.946,
2003-01,14.142,
2003-04,13.024,
2003-07,12.712,
2003-10,13.424,
2004-01,14.174,
2004-04,13.603,
2004-07,13.973,
2004-10,14.426,
2005-01,12.548,
2005-04,12.684,
2005-07,13.265,
2005-10,13.827,
2006-01,13.704,
2006-04,14.306,
2006-07,18.090,
2006-10,19.968,
2007-01,22.274,
2007-04,23.131,
2007-07,30.714,
2007-10,38.136,
2008-01,33.932,
2008-04,35.585,
2008-07,39.442,
2008-10,40.469,
2009-01,29.994,
2009-04,43.389,
2009-07,30.111,
2009-10,27.471,
2010-01,26.720,
2010-04,22.328,
2010-07,23.390,
2010-10,22.674,
2011-01,25.500,
2011-04,29.775,
2011-07,34.033,
2011-10,35.648,
2012-01,32.400,
2012-04,33.721,
2012-07,37.783,
2012-10,24.265,
2013-01,28.800,
2013-04,37.423,
2013-07,17.163,
2013-10,18.891,
2014-01,18.947,
2014-04,17.889,
2014-07,17.253,
