"",BBK01.OEAH89Q,BBK01.OEAH89Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:29,
2002-01,1.486,
2002-04,1.450,
2002-07,1.536,
2002-10,1.532,
2003-01,1.549,
2003-04,1.953,
2003-07,1.947,
2003-10,1.951,
2004-01,2.032,
2004-04,2.166,
2004-07,1.924,
2004-10,2.176,
2005-01,2.164,
2005-04,3.189,
2005-07,3.595,
2005-10,3.635,
2006-01,3.264,
2006-04,3.095,
2006-07,4.769,
2006-10,4.693,
2007-01,4.572,
2007-04,4.555,
2007-07,4.452,
2007-10,4.347,
2008-01,4.122,
2008-04,4.179,
2008-07,4.377,
2008-10,7.990,
2009-01,8.608,
2009-04,5.646,
2009-07,6.115,
2009-10,5.639,
2010-01,6.854,
2010-04,6.681,
2010-07,6.492,
2010-10,6.101,
2011-01,4.791,
2011-04,3.656,
2011-07,3.557,
2011-10,3.544,
2012-01,3.207,
2012-04,3.249,
2012-07,3.214,
2012-10,3.177,
2013-01,3.084,
2013-04,3.018,
2013-07,1.498,
2013-10,1.500,
2014-01,1.485,
2014-04,0.882,
2014-07,0.797,
