"",BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:46,
1991-01,170.999,
1991-04,70.713,
1991-07,-15.393,
1991-10,-27.994,
1992-01,21.828,
1992-04,120.201,
1992-07,-192.617,
1992-10,186.340,
1993-01,-154.968,
1993-04,269.545,
1993-07,-69.375,
1993-10,-73.897,
1994-01,37.068,
1994-04,-23.574,
1994-07,-26.507,
1994-10,-13.175,
1995-01,219.997,
1995-04,150.529,
1995-07,105.047,
1995-10,-172.083,
1996-01,14.114,
1996-04,70.667,
1996-07,42.312,
1996-10,-130.201,
1997-01,310.292,
1997-04,89.005,
1997-07,-66.328,
1997-10,-265.694,
1998-01,364.341,
1998-04,-125.816,
1998-07,177.305,
1998-10,-130.309,
1999-01,252.635,
1999-04,621.341,
1999-07,-454.910,
1999-10,-296.646,
2000-01,53.593,
2000-04,248.458,
2000-07,79.399,
2000-10,-260.741,
2001-01,527.253,
2001-04,-63.251,
2001-07,-619.618,
2001-10,-643.225,
2002-01,-969.749,
2002-04,-149.589,
2002-07,361.420,
2002-10,-151.850,
2003-01,1080.470,
2003-04,-143.905,
2003-07,-641.587,
2003-10,124.035,
2004-01,30.965,
2004-04,-333.535,
2004-07,134.236,
2004-10,-517.357,
2005-01,1097.230,
2005-04,1943.722,
2005-07,-1124.957,
2005-10,2238.620,
2006-01,-1511.767,
2006-04,-973.078,
2006-07,-551.237,
2006-10,815.166,
2007-01,-416.205,
2007-04,1647.396,
2007-07,-472.868,
2007-10,166.793,
2008-01,-461.380,
2008-04,436.054,
2008-07,1428.451,
2008-10,-1138.887,
2009-01,-208.092,
2009-04,797.930,
2009-07,-417.882,
2009-10,-73.907,
2010-01,1431.125,
2010-04,-333.816,
2010-07,134.466,
2010-10,1895.371,
2011-01,859.766,
2011-04,2343.648,
2011-07,-5463.472,
2011-10,1653.029,
2012-01,1209.035,
2012-04,-64.033,
2012-07,-968.146,
2012-10,-610.668,
2013-01,-295.440,
2013-04,703.743,
2013-07,-227.159,
2013-10,-413.200,
2014-01,975.329,Provisional value
2014-04,347.269,Provisional value
2014-07,1516.334,Provisional value
2014-10,474.683,Provisional value
