"",BBK01.TUS001A,BBK01.TUS001A_FLAGS
"",,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:59:26,
1999-06,84593,
1999-07,92917,
1999-08,77096,
1999-09,79517,
1999-10,72807,
1999-11,62239,
1999-12,69901,
2000-01,63524,
2000-02,67306,
2000-03,75151,
2000-04,71607,
2000-05,80653,
2000-06,66812,
2000-07,75195,
2000-08,72202,
2000-09,71480,
2000-10,67090,
2000-11,65172,
2000-12,61439,
2001-01,60036,
2001-02,58859,
2001-03,60777,
2001-04,59573,
2001-05,59064,
2001-06,60623,
2001-07,60774,
2001-08,60314,
2001-09,59439,
2001-10,60440,
2001-11,60236,
2001-12,58510,
2002-01,60257,
2002-02,60190,
2002-03,59926,
2002-04,58269,
2002-05,56890,
2002-06,51514,
2002-07,52062,
2002-08,51175,
2002-09,53013,
2002-10,52443,
2002-11,53285,
2002-12,49094,
2003-01,49191,
2003-02,49511,
2003-03,48731,
2003-04,47282,
2003-05,48136,
2003-06,45290,
2003-07,45064,
2003-08,45781,
2003-09,45015,
2003-10,45270,
2003-11,44750,
2003-12,40447,
2004-01,40653,
2004-02,40680,
2004-03,41751,
2004-04,42379,
2004-05,41773,
2004-06,41504,
2004-07,40656,
2004-08,40139,
2004-09,39350,
2004-10,38510,
2004-11,38692,
2004-12,36140,
2005-01,36494,
2005-02,36000,
2005-03,37714,
2005-04,37310,
2005-05,37451,
2005-06,39184,
2005-07,38860,
2005-08,37928,
2005-09,39800,
2005-10,39593,
2005-11,38535,
2005-12,38557,
2006-01,38497,
2006-02,36963,
2006-03,36146,
2006-04,34659,
2006-05,35719,
2006-06,34073,
2006-07,34405,
2006-08,33856,
2006-09,33851,
2006-10,33450,
2006-11,33552,
2006-12,31951,
2007-01,32409,
2007-02,31843,
2007-03,31600,
2007-04,32814,
2007-05,33471,
2007-06,32337,
2007-07,32216,
2007-08,32237,
2007-09,31724,
2007-10,31415,
2007-11,31076,
2007-12,30412,
2008-01,30723,
2008-02,31072,
2008-03,30277,
2008-04,31366,
2008-05,30453,
2008-06,30590,
2008-07,29365,
2008-08,29447,
2008-09,31427,
2008-10,34800,
2008-11,35069,
2008-12,31291,
2009-01,29046,
2009-02,29317,
2009-03,32384,
2009-04,32973,
2009-05,32631,
2009-06,32036,
2009-07,32128,
2009-08,41922,
2009-09,42172,
2009-10,42823,
2009-11,41301,
2009-12,41902,
2010-01,41958,
2010-02,42439,
2010-03,44668,
2010-04,44784,
2010-05,45455,
2010-06,49902,
2010-07,49882,
2010-08,49763,
2010-09,45699,
2010-10,45465,
2010-11,45384,
2010-12,46697,
2011-01,46879,
2011-02,46901,
2011-03,45582,
2011-04,46145,
2011-05,46121,
2011-06,45658,
2011-07,46086,
2011-08,45977,
2011-09,49518,
2011-10,49463,
2011-11,49200,
2011-12,51730,
2012-01,51870,
2012-02,52417,
2012-03,50851,
2012-04,51431,
2012-05,51639,
2012-06,54154,
2012-07,54106,
2012-08,54495,
2012-09,52964,
2012-10,53140,
2012-11,52832,
2012-12,51118,
2013-01,51611,
2013-02,51289,
2013-03,51993,
2013-04,52049,
2013-05,52027,
2013-06,50545,
2013-07,49891,
2013-08,50316,
2013-09,48633,
2013-10,48421,
2013-11,48828,
2013-12,48878,
2014-01,48503,
2014-02,47605,
2014-03,48436,
2014-04,48587,
2014-05,47956,
2014-06,48417,
2014-07,48848,
2014-08,49014,
2014-09,51738,
2014-10,51941,
2014-11,51971,
2014-12,51270,
2015-01,51642,
