"",BBK01.OEAJ03S,BBK01.OEAJ03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:15,
2002-01,0.982,
2002-04,0.960,
2002-07,0.955,
2002-10,0.931,
2003-01,0.843,
2003-04,0.834,
2003-07,0.823,
2003-10,0.848,
2004-01,0.762,
2004-04,0.685,
2004-07,0.666,
2004-10,0.791,
2005-01,0.704,
2005-04,0.673,
2005-07,0.679,
2005-10,0.768,
2006-01,0.827,
2006-04,0.845,
2006-07,0.894,
2006-10,0.992,
2007-01,1.068,
2007-04,1.122,
2007-07,1.180,
2007-10,1.229,
2008-01,1.305,
2008-04,1.321,
2008-07,1.440,
2008-10,1.306,
2009-01,0.943,
2009-04,0.844,
2009-07,0.739,
2009-10,0.759,
2010-01,0.775,
2010-04,0.782,
2010-07,0.770,
2010-10,0.862,
2011-01,0.967,
2011-04,0.968,
2011-07,0.971,
2011-10,1.348,
2012-01,1.408,
2012-04,1.492,
2012-07,1.451,
2012-10,1.436,
2013-01,1.226,
2013-04,1.682,
2013-07,1.626,
2013-10,1.600,
2014-01,1.685,
2014-04,1.739,
2014-07,1.729,
