"",BBEX3.A.XAF.EUR.CA.AC.A04,BBEX3.A.XAF.EUR.CA.AC.A04_FLAGS
"",Exchange rates for the euro in the Central African Economic and Monetary Community * / EUR 1 = XAF ...,
unit,XAF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:17:27,
1999,655.957,
2000,655.957,
2001,655.957,
2002,655.957,
2003,655.957,
2004,655.957,
2005,655.957,
2006,655.957,
2007,655.957,
2008,655.957,
2009,655.957,
2010,655.957,
2011,655.957,
2012,655.957,
2013,655.957,
2014,655.957,
"","General: * Cameroon, the Central African Republic, Chad, Congo, Equatorial Guinea and Gabon all belong to the Central African Economic and Monetary Community (CEMAC = Communauté Économique et Monétaire de l'Afrique Centrale). The responsible monetary authority is the ""Banque des Etats de l'Afrique Centrale"", whose CFA franc (F.CFA = Franc de la CoopérationFinancière en Afrique Centrale) is legal tender only in the aforementioned countries.  Fixed exchange rate to the euro.",
"",Source: Banque des Etats de l'Afrique Centrale,
