"",BBK01.OEXJ02R,BBK01.OEXJ02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:33,
2002-01,0.178,
2002-04,0.181,
2002-07,0.196,
2002-10,0.235,
2003-01,0.232,
2003-04,0.254,
2003-07,0.254,
2003-10,0.306,
2004-01,0.264,
2004-04,0.311,
2004-07,0.366,
2004-10,0.301,
2005-01,0.275,
2005-04,0.285,
2005-07,0.344,
2005-10,0.366,
2006-01,0.352,
2006-04,0.354,
2006-07,0.336,
2006-10,0.364,
2007-01,0.302,
2007-04,0.295,
2007-07,0.292,
2007-10,0.312,
2008-01,0.275,
2008-04,0.280,
2008-07,0.282,
2008-10,0.429,
2009-01,0.813,
2009-04,0.854,
2009-07,0.960,
2009-10,1.283,
2010-01,1.217,
2010-04,1.299,
2010-07,1.315,
2010-10,1.252,
2011-01,1.218,
2011-04,1.220,
2011-07,1.220,
2011-10,0.779,
2012-01,0.740,
2012-04,0.730,
2012-07,0.905,
2012-10,0.875,
2013-01,0.966,
2013-04,0.924,
2013-07,1.038,
2013-10,0.953,
2014-01,0.976,
2014-04,0.963,
2014-07,1.036,
