"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.SE.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.SE.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Sweden,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:00,
2009-09,9871,
2009-10,9827,
2009-11,9945,
2009-12,9882,
2010-01,9763,
2010-02,10211,
2010-03,10818,
2010-04,11088,
2010-05,11061,
2010-06,11254,
2010-07,11307,
2010-08,11770,
2010-09,11712,
2010-10,11748,
2010-11,11730,
2010-12,11717,
2011-01,11645,
2011-02,11927,
2011-03,11795,
2011-04,11807,
2011-05,12490,
2011-06,12501,
2011-07,12715,
2011-08,12635,
2011-09,12504,
2011-10,12366,
2011-11,12196,
2011-12,12279,
2012-01,12816,
2012-02,13073,
2012-03,13528,
2012-04,13633,
2012-05,13809,
2012-06,14092,
2012-07,14938,
2012-08,14796,
2012-09,14678,
2012-10,14249,
2012-11,14298,
2012-12,14257,
2013-01,13625,
2013-02,13847,
2013-03,14269,
2013-04,14536,
2013-05,14497,
2013-06,14050,
2013-07,13849,
2013-08,13839,
2013-09,13762,
2013-10,13860,
2013-11,13785,
2013-12,13503,
2014-01,13578,
2014-02,13871,
2014-03,14011,
2014-04,13911,
2014-05,13701,
2014-06,13548,
2014-07,13465,
2014-08,13577,
2014-09,13691,
2014-10,13659,
2014-11,13716,
