"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.EE.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.EE.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Estonia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:35,
2009-09,27,
2009-10,3,
2009-11,3,
2009-12,3,
2010-01,4,
2010-02,3,
2010-03,3,
2010-04,3,
2010-05,2,
2010-06,2,
2010-07,2,
2010-08,4,
2010-09,4,
2010-10,4,
2010-11,4,
2010-12,4,
2011-01,4,
2011-02,4,
2011-03,4,
2011-04,4,
2011-05,4,
2011-06,4,
2011-07,9,
2011-08,8,
2011-09,7,
2011-10,7,
2011-11,5,
2011-12,5,
2012-01,5,
2012-02,5,
2012-03,5,
2012-04,8,
2012-05,9,
2012-06,9,
2012-07,9,
2012-08,9,
2012-09,9,
2012-10,9,
2012-11,9,
2012-12,10,
2013-01,10,
2013-02,10,
2013-03,10,
2013-04,10,
2013-05,10,
2013-06,10,
2013-07,11,
2013-08,10,
2013-09,10,
2013-10,11,
2013-11,11,
2013-12,10,
2014-01,17,
2014-02,18,
2014-03,18,
2014-04,18,
2014-05,17,
2014-06,21,
2014-07,18,
2014-08,18,
2014-09,18,
2014-10,19,
2014-11,17,
