"",BBFN1.M.DE.N.1.A.BE.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BE.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:19,
1982-09,0.143,
1982-10,0.142,
1982-11,0.141,
1982-12,0.143,
1983-01,0.140,
1983-02,0.142,
1983-03,0.156,
1983-04,0.154,
1983-05,0.153,
1983-06,0.156,
1983-07,0.155,
1983-08,0.159,
1983-09,0.161,
1983-10,0.163,
1983-11,0.166,
1983-12,0.167,
1984-01,0.166,
1984-02,0.160,
1984-03,0.162,
1984-04,0.165,
1984-05,0.165,
1984-06,0.164,
1984-07,0.173,
1984-08,0.173,
1984-09,0.182,
1984-10,0.196,
1984-11,0.203,
1984-12,0.200,
1985-01,0.205,
1985-02,0.204,
1985-03,0.188,
1985-04,0.189,
1985-05,0.194,
1985-06,0.195,
1985-07,0.192,
1985-08,0.192,
1985-09,0.185,
1985-10,0.179,
1985-11,0.182,
1985-12,0.188,
1986-01,0.189,
1986-02,0.185,
1986-03,0.188,
1986-04,0.211,
1986-05,0.214,
1986-06,0.216,
1986-07,0.216,
1986-08,0.216,
1986-09,0.208,
1986-10,0.196,
1986-11,0.200,
1986-12,0.190,
1987-01,0.189,
1987-02,0.190,
1987-03,0.188,
1987-04,0.189,
1987-05,0.197,
1987-06,0.194,
1987-07,0.195,
1987-08,0.197,
1987-09,0.196,
1987-10,0.190,
1987-11,0.189,
1987-12,0.200,
1988-01,0.197,
1988-02,0.194,
1988-03,0.194,
1988-04,0.191,
1988-05,0.192,
1988-06,0.192,
1988-07,0.196,
1988-08,0.212,
1988-09,0.197,
1988-10,0.180,
1988-11,0.173,
1988-12,0.184,
1989-01,0.195,
1989-02,0.199,
1989-03,0.198,
1989-04,0.199,
1989-05,0.196,
1989-06,0.191,
1989-07,0.187,
1989-08,0.188,
1989-09,0.184,
1989-10,0.184,
1989-11,0.164,
1989-12,0.182,
1990-01,0.172,
1990-02,0.170,
1990-03,0.188,
1990-04,0.203,
1990-05,0.207,
1990-06,0.210,
1990-07,0.218,
1990-08,0.221,
1990-09,0.253,
1990-10,0.250,
1990-11,0.244,
1990-12,0.254,
1991-01,0.258,
1991-02,0.253,
1991-03,0.254,
1991-04,0.253,
1991-05,0.253,
1991-06,0.249,
1991-07,0.261,
1991-08,0.263,
1991-09,0.256,
1991-10,0.264,
1991-11,0.260,
1991-12,0.241,
1992-01,0.235,
1992-02,0.240,
1992-03,0.248,
1992-04,0.247,
1992-05,0.247,
