"",BBK01.CEFF1C,BBK01.CEFF1C_FLAGS
"",long-term loans  debtor: Non-financial corporations                        creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:32,
1999-01,51.8,
1999-04,51.6,
1999-07,51.5,
1999-10,53.2,
2000-01,51.8,
2000-04,53.1,
2000-07,52.9,
2000-10,53.7,
2001-01,54.0,
2001-04,54.7,
2001-07,54.0,
2001-10,54.6,
2002-01,54.8,
2002-04,55.2,
2002-07,54.7,
2002-10,55.4,
2003-01,55.9,
2003-04,55.1,
2003-07,54.7,
2003-10,53.1,
2004-01,54.4,
2004-04,53.3,
2004-07,48.7,
2004-10,42.0,
2005-01,45.8,
2005-04,44.6,
2005-07,44.5,
2005-10,43.5,
2006-01,43.6,
2006-04,43.6,
2006-07,46.9,
2006-10,47.1,
2007-01,48.4,
2007-04,47.8,
2007-07,47.5,
2007-10,48.0,
2008-01,47.2,
2008-04,46.5,
2008-07,45.3,
2008-10,45.7,
2009-01,44.6,
2009-04,48.2,
2009-07,36.7,
2009-10,36.5,
2010-01,32.6,
2010-04,39.5,
2010-07,38.2,
2010-10,38.1,
2011-01,23.4,
2011-04,32.9,
2011-07,37.9,
2011-10,45.2,
2012-01,38.0,
2012-04,35.7,
2012-07,49.9,
2012-10,41.7,
2013-01,39.8,
2013-04,44.5,
2013-07,28.9,
2013-10,33.1,
2014-01,32.3,
2014-04,37.6,
2014-07,32.3,
