"",BBFN1.M.DE.N.1.A.HK.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HK.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:33,
1994-07,0.688,
1994-08,0.713,
1994-09,0.755,
1994-10,0.741,
1994-11,0.836,
1994-12,0.820,
1995-01,0.799,
1995-02,0.774,
1995-03,0.791,
1995-04,0.753,
1995-05,0.773,
1995-06,0.786,
1995-07,0.827,
1995-08,0.800,
1995-09,0.784,
1995-10,0.808,
1995-11,0.847,
1995-12,0.824,
1996-01,0.804,
1996-02,0.781,
1996-03,0.819,
1996-04,0.819,
1996-05,0.793,
1996-06,0.827,
1996-07,0.812,
1996-08,0.804,
1996-09,0.791,
1996-10,0.826,
1996-11,0.875,
1996-12,0.854,
1997-01,0.810,
1997-02,0.797,
1997-03,0.856,
1997-04,0.888,
1997-05,0.912,
1997-06,0.981,
1997-07,0.959,
1997-08,0.962,
1997-09,0.915,
1997-10,0.932,
1997-11,0.981,
1997-12,0.930,
1998-01,0.937,
1998-02,0.936,
1998-03,0.965,
1998-04,0.963,
1998-05,0.861,
1998-06,0.818,
1998-07,0.834,
1998-08,0.803,
1998-09,0.712,
1998-10,0.712,
1998-11,0.690,
1998-12,0.919,
1999-01,0.742,
1999-02,0.754,
1999-03,0.789,
1999-04,0.810,
1999-05,0.881,
1999-06,0.987,
1999-07,0.970,
1999-08,0.907,
1999-09,0.857,
1999-10,0.842,
1999-11,0.888,
1999-12,0.839,
2000-01,0.882,
2000-02,0.899,
2000-03,0.946,
2000-04,1.020,
2000-05,0.986,
2000-06,1.021,
2000-07,1.112,
2000-08,1.016,
2000-09,0.997,
2000-10,1.094,
2000-11,1.127,
2000-12,1.117,
2001-01,1.158,
2001-02,1.080,
2001-03,1.119,
2001-04,1.122,
2001-05,1.169,
2001-06,1.158,
2001-07,1.158,
2001-08,1.085,
2001-09,1.041,
2001-10,1.091,
2001-11,1.081,
2001-12,1.034,
2002-01,1.034,
2002-02,0.976,
2002-03,0.988,
2002-04,1.079,
2002-05,1.099,
2002-06,1.119,
2002-07,1.137,
2002-08,1.144,
2002-09,1.176,
2002-10,1.208,
2002-11,1.230,
2002-12,1.237,
2003-01,1.132,
2003-02,1.133,
2003-03,1.169,
2003-04,1.183,
2003-05,1.136,
2003-06,1.072,
2003-07,1.223,
2003-08,1.227,
2003-09,1.162,
2003-10,1.063,
2003-11,1.100,
2003-12,1.042,
2004-01,1.016,
2004-02,0.970,
2004-03,1.024,
2004-04,1.139,
2004-05,1.249,
2004-06,1.188,
2004-07,1.181,
2004-08,1.112,
2004-09,1.068,
2004-10,1.110,
2004-11,1.174,
2004-12,1.031,
2005-01,0.994,
2005-02,0.937,
2005-03,0.944,
2005-04,1.048,
2005-05,1.084,
2005-06,1.159,
2005-07,1.217,
2005-08,1.208,
2005-09,1.181,
2005-10,1.054,
2005-11,1.071,
2005-12,1.218,
2006-01,1.105,
2006-02,1.078,
2006-03,1.114,
2006-04,1.157,
2006-05,1.170,
2006-06,1.213,
2006-07,1.092,
2006-08,1.030,
2006-09,1.021,
2006-10,1.060,
2006-11,1.077,
2006-12,1.048,
2007-01,1.020,
2007-02,0.990,
2007-03,1.096,
2007-04,1.110,
2007-05,1.152,
2007-06,1.156,
2007-07,1.067,
2007-08,1.046,
2007-09,1.049,
2007-10,1.105,
2007-11,1.072,
2007-12,1.124,
2008-01,1.118,
2008-02,1.041,
2008-03,1.064,
2008-04,1.130,
2008-05,1.192,
2008-06,1.185,
2008-07,1.250,
2008-08,1.173,
2008-09,1.109,
2008-10,1.044,
2008-11,0.975,
2008-12,0.909,
2009-01,0.812,
2009-02,0.823,
2009-03,0.871,
2009-04,0.927,
2009-05,0.914,
2009-06,0.931,
2009-07,0.970,
2009-08,0.980,
2009-09,0.999,
2009-10,1.027,
2009-11,1.021,
2009-12,0.942,
2010-01,0.987,
2010-02,1.003,
2010-03,1.003,
2010-04,1.087,
2010-05,1.126,
2010-06,1.167,
2010-07,1.237,
2010-08,1.171,
2010-09,1.194,
2010-10,1.241,
2010-11,1.221,
2010-12,1.198,
2011-01,1.215,
2011-02,1.228,
2011-03,1.272,
2011-04,1.267,
2011-05,1.272,
2011-06,1.235,
2011-07,1.239,
2011-08,1.291,
2011-09,1.264,
2011-10,1.209,
2011-11,1.141,
2011-12,1.154,
2012-01,1.178,
2012-02,1.173,
2012-03,1.199,
2012-04,1.232,
2012-05,1.244,
2012-06,1.299,
2012-07,1.328,
2012-08,1.264,
2012-09,1.321,
2012-10,1.269,
2012-11,1.302,
2012-12,1.353,
2013-01,1.248,
2013-02,1.356,
2013-03,1.476,
2013-04,1.398,
2013-05,1.369,
2013-06,1.445,
2013-07,1.430,
2013-08,1.471,
2013-09,1.534,
2013-10,1.504,
2013-11,1.581,
2013-12,1.581,
2014-01,1.541,
2014-02,1.448,
2014-03,1.555,
2014-04,1.662,
2014-05,1.390,
2014-06,1.718,
2014-07,1.768,
2014-08,1.733,
2014-09,1.870,
2014-10,1.877,
2014-11,1.826,
2014-12,1.869,
