"",BBFB1.Q.N.DE.I7.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:43,
1991-01,4002.232,
1991-04,3278.476,
1991-07,3123.429,
1991-10,19061.079,
1992-01,4012.699,
1992-04,4126.203,
1992-07,3737.332,
1992-10,22498.172,
1993-01,34835.817,
1993-04,16553.834,
1993-07,6657.051,
1993-10,9486.454,
1994-01,-2666.514,
1994-04,-5464.296,
1994-07,13580.060,
1994-10,19079.052,
1995-01,8778.425,
1995-04,10542.053,
1995-07,-6570.650,
1995-10,11035.705,
1996-01,11794.298,
1996-04,149.167,
1996-07,-2500.372,
1996-10,22533.904,
1997-01,13784.425,
1997-04,21603.728,
1997-07,12335.280,
1997-10,27296.519,
1998-01,37595.546,
1998-04,37839.692,
1998-07,27686.734,
1998-10,50894.367,
1999-01,80030.119,
1999-04,33205.929,
1999-07,64207.907,
1999-10,47970.373,
2000-01,38635.321,
2000-04,54192.995,
2000-07,68641.858,
2000-10,23796.202,
2001-01,81597.680,
2001-04,3184.593,
2001-07,25412.931,
2001-10,4815.765,
2002-01,52765.132,
2002-04,51158.588,
2002-07,47784.312,
2002-10,25279.906,
2003-01,39721.451,
2003-04,18657.356,
2003-07,22084.229,
2003-10,6980.471,
2004-01,20050.393,
2004-04,6228.018,
2004-07,53131.410,
2004-10,32499.161,
2005-01,78791.721,
2005-04,75987.441,
2005-07,32098.406,
2005-10,80835.341,
2006-01,82040.164,
2006-04,29096.466,
2006-07,46960.869,
2006-10,45085.769,
2007-01,83173.443,
2007-04,125884.561,
2007-07,74525.217,
2007-10,74882.656,
2008-01,139041.368,
2008-04,64744.230,
2008-07,3547.639,
2008-10,-4919.928,
2009-01,53276.743,
2009-04,33705.637,
2009-07,24780.040,
2009-10,44395.463,
2010-01,63479.668,
2010-04,95158.783,
2010-07,100944.318,
2010-10,31716.433,
2011-01,58233.737,
2011-04,64652.806,
2011-07,155747.736,
2011-10,-34832.405,
2012-01,204489.213,
2012-04,126122.348,
2012-07,-6122.605,
2012-10,-17206.079,
2013-01,8182.755,
2013-04,48337.136,
2013-07,-17206.130,
2013-10,-79583.624,
2014-01,24558.743,Provisional value
2014-04,38829.241,Provisional value
2014-07,53672.667,Provisional value
2014-10,-22157.335,Provisional value
