"",BBK01.OEAA43G,BBK01.OEAA43G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:37,
2002-01,3.649,
2002-04,3.022,
2002-07,3.468,
2002-10,4.440,
2003-01,4.949,
2003-04,4.738,
2003-07,6.171,
2003-10,6.914,
2004-01,6.659,
2004-04,4.308,
2004-07,5.207,
2004-10,5.953,
2005-01,5.509,
2005-04,4.846,
2005-07,3.312,
2005-10,3.187,
2006-01,3.776,
2006-04,3.229,
2006-07,3.553,
2006-10,2.770,
2007-01,2.451,
2007-04,2.209,
2007-07,3.747,
2007-10,3.411,
2008-01,2.888,
2008-04,3.090,
2008-07,3.179,
2008-10,2.927,
2009-01,4.440,
2009-04,3.901,
2009-07,3.446,
2009-10,3.682,
2010-01,4.758,
2010-04,4.318,
2010-07,4.854,
2010-10,4.412,
2011-01,5.917,
2011-04,6.296,
2011-07,6.392,
2011-10,5.106,
2012-01,7.056,
2012-04,7.034,
2012-07,7.158,
2012-10,3.592,
2013-01,3.169,
2013-04,2.561,
2013-07,1.064,
2013-10,0.922,
2014-01,1.382,
2014-04,1.448,
2014-07,1.516,
