"",BBK01.OEAB04P,BBK01.OEAB04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:49,
2002-01,17.449,
2002-04,17.562,
2002-07,17.638,
2002-10,18.069,
2003-01,18.423,
2003-04,18.551,
2003-07,18.648,
2003-10,18.851,
2004-01,19.008,
2004-04,19.233,
2004-07,19.454,
2004-10,19.498,
2005-01,19.786,
2005-04,19.929,
2005-07,20.031,
2005-10,20.037,
2006-01,19.975,
2006-04,19.942,
2006-07,19.964,
2006-10,20.136,
2007-01,20.195,
2007-04,20.293,
2007-07,20.483,
2007-10,20.714,
2008-01,20.743,
2008-04,21.045,
2008-07,21.289,
2008-10,21.342,
2009-01,21.301,
2009-04,21.661,
2009-07,21.701,
2009-10,21.718,
2010-01,21.676,
2010-04,22.846,
2010-07,22.742,
2010-10,22.644,
2011-01,22.681,
2011-04,22.875,
2011-07,22.970,
2011-10,23.186,
2012-01,23.317,
2012-04,24.067,
2012-07,24.190,
2012-10,24.373,
2013-01,24.359,
2013-04,25.688,
2013-07,25.635,
2013-10,25.795,
2014-01,25.742,
2014-04,25.694,
2014-07,25.834,
