"",BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:50,
1991-01,45.870,
1991-04,-48.185,
1991-07,-22.804,
1991-10,53.066,
1992-01,33.777,
1992-04,57.766,
1992-07,6.845,
1992-10,44.037,
1993-01,179.032,
1993-04,145.536,
1993-07,229.659,
1993-10,-12.376,
1994-01,82.189,
1994-04,-92.345,
1994-07,-14.355,
1994-10,82.601,
1995-01,110.113,
1995-04,-27.955,
1995-07,96.787,
1995-10,125.087,
1996-01,192.182,
1996-04,249.303,
1996-07,140.946,
1996-10,287.585,
1997-01,114.470,
1997-04,246.512,
1997-07,47.127,
1997-10,211.746,
1998-01,174.155,
1998-04,172.730,
1998-07,196.678,
1998-10,197.911,
1999-01,214.314,
1999-04,216.493,
1999-07,147.316,
1999-10,174.093,
2000-01,61.022,
2000-04,166.718,
2000-07,-250.039,
2000-10,190.612,
2001-01,213.794,
2001-04,-0.607,
2001-07,196.088,
2001-10,42.650,
2002-01,-41.980,
2002-04,33.735,
2002-07,23.768,
2002-10,260.206,
2003-01,-33.276,
2003-04,1.652,
2003-07,53.490,
2003-10,-68.312,
2004-01,2.222,
2004-04,-77.598,
2004-07,52.805,
2004-10,-33.389,
2005-01,-24.724,
2005-04,98.885,
2005-07,38.828,
2005-10,509.997,
2006-01,137.127,
2006-04,100.876,
2006-07,294.210,
2006-10,165.048,
2007-01,13.676,
2007-04,507.385,
2007-07,639.253,
2007-10,-169.501,
2008-01,312.806,
2008-04,-23.831,
2008-07,292.555,
2008-10,21.465,
2009-01,261.019,
2009-04,87.843,
2009-07,-292.467,
2009-10,5.778,
2010-01,-43.698,
2010-04,-24.649,
2010-07,57.700,
2010-10,172.505,
2011-01,441.020,
2011-04,546.552,
2011-07,363.334,
2011-10,405.779,
2012-01,229.018,
2012-04,2.615,
2012-07,460.560,
2012-10,1358.455,
2013-01,229.960,
2013-04,397.378,
2013-07,18.851,
2013-10,307.775,
2014-01,346.513,Provisional value
2014-04,558.782,Provisional value
2014-07,326.690,Provisional value
2014-10,-159.291,Provisional value
