"",BBK01.OEAM02L,BBK01.OEAM02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:17,
2002-01,1.384,
2002-04,1.831,
2002-07,1.816,
2002-10,1.586,
2003-01,2.396,
2003-04,2.761,
2003-07,2.234,
2003-10,1.636,
2004-01,2.552,
2004-04,2.898,
2004-07,2.201,
2004-10,1.815,
2005-01,2.741,
2005-04,3.367,
2005-07,1.776,
2005-10,2.089,
2006-01,2.755,
2006-04,1.957,
2006-07,1.737,
2006-10,2.718,
2007-01,2.835,
2007-04,2.364,
2007-07,2.619,
2007-10,3.202,
2008-01,2.584,
2008-04,3.278,
2008-07,2.073,
2008-10,2.761,
2009-01,3.555,
2009-04,3.962,
2009-07,3.088,
2009-10,2.792,
2010-01,3.214,
2010-04,2.914,
2010-07,3.482,
2010-10,2.963,
2011-01,3.568,
2011-04,3.854,
2011-07,3.096,
2011-10,3.569,
2012-01,3.030,
2012-04,3.177,
2012-07,3.690,
2012-10,3.593,
2013-01,2.644,
2013-04,2.774,
2013-07,2.832,
2013-10,3.650,
2014-01,3.015,
2014-04,3.262,
2014-07,4.199,
