"",BBK01.PQN350,BBK01.PQN350_FLAGS
"",Lending to domestic enterprises and resident individuals / Total / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:43,
1958-10,3.741,
1959-01,-,Nothing exists
1959-04,3.587,
1959-07,-,Nothing exists
1959-10,3.920,
1960-01,-,Nothing exists
1960-04,4.303,
1960-07,-,Nothing exists
1960-10,4.283,
1961-01,-,Nothing exists
1961-04,4.735,
1961-07,-,Nothing exists
1961-10,4.882,
1962-01,-,Nothing exists
1962-04,4.900,
1962-07,-,Nothing exists
1962-10,4.942,
1963-01,-,Nothing exists
1963-04,5.136,
1963-07,-,Nothing exists
1963-10,5.165,
1964-01,-,Nothing exists
1964-04,5.457,
1964-07,-,Nothing exists
1964-10,5.743,
1965-01,5.787,
1965-04,5.933,
1965-07,5.918,
1965-10,5.988,
1966-01,6.138,
1966-04,6.239,
1966-07,6.329,
1966-10,6.482,
1967-01,6.612,
1967-04,6.665,
1967-07,6.739,
1967-10,6.899,
1968-01,6.978,
1968-04,7.104,
1968-07,7.185,
1968-10,7.167,
1969-01,7.357,
1969-04,7.451,
1969-07,7.637,
1969-10,7.780,
1970-01,8.001,
1970-04,8.274,
1970-07,8.315,
1970-10,10.257,
1971-01,10.443,
1971-04,10.483,
1971-07,10.792,
1971-10,11.094,
1972-01,11.365,
1972-04,11.635,
1972-07,11.887,
1972-10,12.296,
1973-01,12.572,
1973-04,12.698,
1973-07,12.911,
1973-10,13.016,
1974-01,13.160,
1974-04,13.362,
1974-07,13.507,
1974-10,13.551,
1975-01,13.663,
1975-04,13.628,
1975-07,13.756,
1975-10,13.952,
1976-01,13.955,
1976-04,14.260,
1976-07,14.613,
1976-10,14.486,
1977-01,14.437,
1977-04,14.293,
1977-07,14.391,
1977-10,14.580,
1978-01,14.463,
1978-04,14.401,
1978-07,14.590,
1978-10,14.744,
1979-01,14.857,
1979-04,15.060,
1979-07,15.417,
1979-10,15.862,
1980-01,15.991,
1980-04,16.287,
1980-07,16.624,
1980-10,17.049,
1981-01,17.441,
1981-04,17.848,
1981-07,18.521,
1981-10,18.986,
1982-01,19.151,
1982-04,19.398,
1982-07,19.723,
1982-10,20.202,
1983-01,20.362,
1983-04,20.666,
1983-07,20.939,
1983-10,21.626,
1984-01,21.650,
1984-04,21.572,
1984-07,22.214,
1984-10,22.788,
1985-01,22.906,
1985-04,23.220,
1985-07,23.749,
1985-10,24.679,
1986-01,24.669,
1986-04,25.268,
1986-07,25.999,
1986-10,26.761,
1987-01,26.751,
1987-04,26.900,
1987-07,27.435,
1987-10,27.734,
1988-01,27.677,
1988-04,27.682,
1988-07,28.403,
1988-10,30.068,
1989-01,30.305,
1989-04,30.657,
1989-07,31.035,
1989-10,32.351,
1990-01,32.698,
1990-04,33.822,
1990-07,35.255,
1990-10,36.381,
1991-01,37.329,
1991-04,38.411,
1991-07,40.644,
1991-10,51.621,
1992-01,69.019,
1992-04,70.686,
1992-07,78.514,
1992-10,84.849,
1993-01,122.024,
1993-04,116.716,
1993-07,111.780,
1993-10,110.878,
1994-01,108.476,
1994-04,104.063,
1994-07,99.217,
1994-10,74.482,
1995-01,69.238,
1995-04,58.752,
1995-07,59.838,
1995-10,61.284,
1996-01,61.169,
1996-04,69.394,
1996-07,71.453,
1996-10,73.509,
1997-01,74.230,
1997-04,74.979,
1997-07,76.284,
1997-10,79.238,
1998-01,80.094,
1998-04,81.039,
1998-07,84.026,
1998-10,88.022,
1999-01,81.555,
1999-04,82.278,
1999-07,83.899,
1999-10,88.073,
2000-01,86.863,
2000-04,73.038,
2000-07,74.382,
2000-10,75.891,
2001-01,76.575,
2001-04,76.238,
2001-07,77.882,
2001-10,79.585,
2002-01,78.199,
2002-04,77.969,
2002-07,78.440,
2002-10,77.838,
2003-01,77.722,
2003-04,81.141,
2003-07,81.584,
2003-10,83.086,
2004-01,81.668,
2004-04,82.179,
2004-07,96.244,
2004-10,105.572,
2005-01,104.219,
2005-04,104.690,
2005-07,103.542,
2005-10,103.121,
2006-01,117.649,
2006-04,117.497,
2006-07,116.946,
2006-10,116.971,
2007-01,113.972,
2007-04,113.020,
2007-07,113.733,
2007-10,116.980,
2008-01,114.239,
2008-04,112.085,
2008-07,117.795,
2008-10,125.040,
2009-01,132.495,
2009-04,136.163,
2009-07,129.015,
2009-10,131.707,
2010-01,135.854,
2010-04,134.734,
2010-07,131.271,
2010-10,130.559,
2011-01,126.487,
2011-04,132.780,
2011-07,132.658,
2011-10,136.060,
2012-01,138.493,
2012-04,135.839,
2012-07,138.471,
2012-10,140.041,
2013-01,140.314,
2013-04,135.317,
2013-07,107.891,
2013-10,112.588,
2014-01,111.069,
2014-04,109.864,
2014-07,109.064,
2014-10,107.045,
