"",BBK01.OEXJ01U,BBK01.OEXJ01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:27,
2002-01,0.407,
2002-04,0.384,
2002-07,0.429,
2002-10,0.477,
2003-01,0.414,
2003-04,0.439,
2003-07,0.491,
2003-10,0.501,
2004-01,0.463,
2004-04,0.448,
2004-07,0.474,
2004-10,0.497,
2005-01,0.475,
2005-04,0.493,
2005-07,0.492,
2005-10,0.528,
2006-01,0.516,
2006-04,0.523,
2006-07,0.575,
2006-10,0.619,
2007-01,0.628,
2007-04,0.638,
2007-07,0.701,
2007-10,0.750,
2008-01,0.727,
2008-04,0.724,
2008-07,0.726,
2008-10,0.752,
2009-01,0.792,
2009-04,0.872,
2009-07,1.162,
2009-10,1.183,
2010-01,1.250,
2010-04,1.207,
2010-07,1.232,
2010-10,1.233,
2011-01,1.256,
2011-04,1.284,
2011-07,1.348,
2011-10,1.343,
2012-01,1.319,
2012-04,1.298,
2012-07,1.182,
2012-10,1.217,
2013-01,1.207,
2013-04,1.284,
2013-07,1.321,
2013-10,1.281,
2014-01,1.519,
2014-04,1.574,
2014-07,1.393,
