"",BBFB1.M.N.DE.W1.S1.S1.T.D.KA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.KA._Z._Z._Z._T._X.N_FLAGS
"",Capital account / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:52,
2011-09,836.157,
2011-10,742.316,
2011-11,729.372,
2011-12,1774.439,
2012-01,2086.487,
2012-02,760.702,
2012-03,788.873,
2012-04,803.158,
2012-05,744.415,
2012-06,695.408,
2012-07,695.608,
2012-08,778.534,
2012-09,667.065,
2012-10,1066.278,
2012-11,813.790,
2012-12,2210.563,
2013-01,614.731,
2013-02,502.593,
2013-03,507.192,
2013-04,580.143,
2013-05,578.200,
2013-06,629.058,
2013-07,652.119,
2013-08,574.854,
2013-09,949.785,
2013-10,934.629,
2013-11,914.350,
2013-12,3004.437,
2014-01,1086.137,
2014-02,915.086,Provisional value
2014-03,827.770,Provisional value
2014-04,749.304,Provisional value
2014-05,1168.098,Provisional value
2014-06,734.465,Provisional value
2014-07,898.893,Provisional value
2014-08,630.299,Provisional value
2014-09,624.847,
2014-10,1109.508,
2014-11,961.399,
2014-12,3685.283,Provisional value
