"",BBK01.OECB16J,BBK01.OECB16J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:14,
2002-01,0.401,
2002-04,0.402,
2002-07,0.393,
2002-10,0.392,
2003-01,0.386,
2003-04,0.382,
2003-07,0.376,
2003-10,0.364,
2004-01,0.355,
2004-04,0.349,
2004-07,0.339,
2004-10,0.333,
2005-01,0.335,
2005-04,0.330,
2005-07,0.328,
2005-10,0.324,
2006-01,0.318,
2006-04,0.321,
2006-07,0.320,
2006-10,0.316,
2007-01,0.316,
2007-04,0.317,
2007-07,0.307,
2007-10,0.302,
2008-01,0.305,
2008-04,0.295,
2008-07,0.290,
2008-10,0.279,
2009-01,0.276,
2009-04,0.272,
2009-07,0.265,
2009-10,0.262,
2010-01,0.257,
2010-04,0.253,
2010-07,0.249,
2010-10,0.247,
2011-01,0.249,
2011-04,0.267,
2011-07,0.263,
2011-10,0.229,
2012-01,0.223,
2012-04,0.215,
2012-07,0.214,
2012-10,0.209,
2013-01,0.215,
2013-04,0.212,
2013-07,0.209,
2013-10,0.200,
2014-01,0.195,
2014-04,0.191,
2014-07,0.191,
