"",BBK01.OECI06N,BBK01.OECI06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:55,
2002-01,0.207,
2002-04,0.200,
2002-07,0.175,
2002-10,0.146,
2003-01,0.117,
2003-04,0.109,
2003-07,0.097,
2003-10,0.089,
2004-01,0.075,
2004-04,0.068,
2004-07,0.063,
2004-10,0.057,
2005-01,0.050,
2005-04,0.046,
2005-07,0.043,
2005-10,0.041,
2006-01,0.034,
2006-04,0.032,
2006-07,0.030,
2006-10,0.028,
2007-01,0.025,
2007-04,0.023,
2007-07,0.022,
2007-10,0.023,
2008-01,0.021,
2008-04,0.020,
2008-07,0.040,
2008-10,0.033,
2009-01,0.026,
2009-04,0.021,
2009-07,0.015,
2009-10,0.011,
2010-01,0.010,
2010-04,0.009,
2010-07,0.008,
2010-10,0.008,
2011-01,0.007,
2011-04,0.134,
2011-07,0.147,
2011-10,0.161,
2012-01,0.199,
2012-04,0.202,
2012-07,0.206,
2012-10,0.119,
2013-01,0.102,
2013-04,0.100,
2013-07,0.101,
2013-10,0.109,
2014-01,0.116,
2014-04,0.118,
2014-07,0.111,
